"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Akademiet Sandnes","Alle utdanningsprogram","275","100","175","274","96","178","274","104","170","252","89","163","256","106","150","233","115","118","214","98","116","245","129","116","262","126","136","264","132","132","243","125","118","242","117","125","235","110","125","242","99","143"
11,"Akademiet Sandnes","Studieforberedende","215","80","135","214","74","140","215","80","135","206","69","137","215","82","133","222","105","117","203","87","116","234","118","116","251","116","135","254","122","132","243","125","118","242","117","125","235","110","125","242","99","143"
11,"Akademiet Sandnes","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","7","16","32","17","15","40","21","19","37","23","14","52","31","21","57","37","20","66","44","22","46","30","16","35","22","13","37","22","15"
11,"Akademiet Sandnes","Påbygging til generell studiekompetanse","16","3","13","16","3","13","16","3","13","16","4","12","16","7","9","15","8","7","16","11","5","18","7","11","16","9","7","16","3","13","16","8","8","16","7","9","16","6","10","18","5","13"
11,"Akademiet Sandnes","Studieforberedende Vg3 Medier og kommunikasjon","15","8","7","15","6","9","16","10","6","16","7","9","13","7","6","27","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Akademiet Sandnes","Studiespesialisering","184","69","115","183","65","118","183","67","116","174","58","116","163","61","102","148","67","81","147","55","92","179","88","91","183","76","107","181","82","99","161","73","88","180","80","100","184","82","102","187","72","115"
11,"Akademiet Sandnes","Yrkesfaglig","60","20","40","60","22","38","59","24","35","46","20","26","41","24","17","11","10","1","11","11",NA,"11","11",NA,"11","10","1","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Akademiet Sandnes","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Akademiet Sandnes","Medier og kommunikasjon (gammel ordning)","60","20","40","60","22","38","59","24","35","46","20","26","30","13","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Akademiet Sandnes","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","11",NA,"11","10","1","11","11",NA,"11","11",NA,"11","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
