"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Bergeland videregående skole","Alle utdanningsprogram","663","233","430","688","228","460","753","280","473","803","313","490","785","323","462","749","262","487","663","209","454","457","113","344","491","119","372","518","137","381","536","139","397","559","117","442","575","135","440","543","91","452"
11,"Bergeland videregående skole","Studieforberedende","354","122","232","366","133","233","366","136","230","411","168","243","410","195","215","401","156","245","325","134","191","120","34","86","150","53","97","186","70","116","193","74","119","214","63","151","258","72","186","224","43","181"
11,"Bergeland videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","4","25","66","9","57","91","15","76","92","16","76","106","24","82","124","26","98","125","27","98","154","29","125","153","34","119","149","25","124"
11,"Bergeland videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","20","11","34","20","14","34","14","20","26","16","10","42","27","15","61","43","18","68","47","21","60","34","26","77","35","42","48","17","31"
11,"Bergeland videregående skole","Påbygging til generell studiekompetanse","30","1","29","28","2","26","30","10","20","58","23","35","89","51","38","90","33","57","59","23","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","3","25","27","1","26"
11,"Bergeland videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","26","9","17","30","15","15","30","11","19","31","16","15","22","14","8","18","7","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Studiespesialisering","212","102","110","230","110","120","243","109","134","256","118","138","199","101","98","173","86","87","141","82","59","2","2",NA,"2","2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Studiespesialisering med formgivning","86","10","76","78","6","72","63","6","57","66","11","55","40","5","35","20","1","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Yrkesfaglig","309","111","198","322","95","227","387","144","243","392","145","247","375","128","247","348","106","242","338","75","263","337","79","258","341","66","275","332","67","265","343","65","278","345","54","291","317","63","254","319","48","271"
11,"Bergeland videregående skole","Bygg- og anleggsteknikk","73","70","3","10","10",NA,"12","11","1","12","12",NA,"9","9",NA,"10","10",NA,"7","7",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","2","1","1","2","1","1","3","2","1","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","2",NA,"2","2",NA,"2","2",NA,"2",NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Helse- og oppvekstfag","182","15","167","194","13","181","228","26","202","231","27","204","258","35","223","279","47","232","304","49","255","311","59","252","317","50","267","308","52","256","322","51","271","322","41","281","301","51","250","300","36","264"
11,"Bergeland videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,"2","2",NA,"1","1",NA,"1",NA,"1"
11,"Bergeland videregående skole","Medier og kommunikasjon (gammel ordning)","54","26","28","73","31","42","72","35","37","65","33","32","26","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,"3","3",NA,"3","3",NA,"2","2",NA,"3","3",NA,"1","1",NA,"3","2","1","1","1",NA,"2","2",NA
11,"Bergeland videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","1","7","4","3","9","6","3","9","7","2","6","5","1","3","2","1","2","1","1","2","2",NA,"4","3","1","4","3","1","3","2","1"
11,"Bergeland videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","10","6","16","10","6","14","9","5","12","6","6","10","7","3","13","8","5"
11,"Bergeland videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"4","3","1","10","6","4","12","7","5","13","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bergeland videregående skole","Teknologi- og industrifag",NA,NA,NA,"45","41","4","75","72","3","77","68","9","68","65","3","36","34","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
