"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
11,"Bryne vidaregåande skole (Nedlagt)","Alle utdanningsprogram","650","335","315","586","280","306"
11,"Bryne vidaregåande skole (Nedlagt)","Studieforberedende","586","302","284","530","250","280"
11,"Bryne vidaregåande skole (Nedlagt)","Idrettsfag","196","109","87","162","83","79"
11,"Bryne vidaregåande skole (Nedlagt)","IDIDR2 - Idrettsfag vg2","50","26","24","54","24","30"
11,"Bryne vidaregåande skole (Nedlagt)","IDIDR3 - Idrettsfag vg3","86","54","32","59","33","26"
11,"Bryne vidaregåande skole (Nedlagt)","IDRET1 - Idrettsfag vg1","60","29","31","49","26","23"
11,"Bryne vidaregåande skole (Nedlagt)","Påbygging til generell studiekompetanse","2",NA,"2",NA,NA,NA
11,"Bryne vidaregåande skole (Nedlagt)","Studiespesialisering","388","193","195","368","167","201"
11,"Bryne vidaregåande skole (Nedlagt)","Yrkesfaglig","64","33","31","56","30","26"
11,"Bryne vidaregåande skole (Nedlagt)","Service og samferdsel","64","33","31","56","30","26"
