"fylkesnr","skole","linje","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Bryne vidaregåande skule","Alle utdanningsprogram","1282","701","581","1421","756","665","1576","854","722","1578","833","745","1528","811","717","1557","815","742","1576","785","791","1559","764","795","1511","715","796","1524","748","776","1573","794","779","1671","816","855"
11,"Bryne vidaregåande skule","Studieforberedende","637","293","344","704","335","369","848","415","433","829","388","441","819","392","427","839","386","453","872","383","489","841","356","485","769","324","445","753","327","426","802","355","447","850","374","476"
11,"Bryne vidaregåande skule","Idrettsfag","138","74","64","142","83","59","165","90","75","163","81","82","175","97","78","169","101","68","169","104","65","176","97","79","164","97","67","164","102","62","185","131","54","215","149","66"
11,"Bryne vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,"30","24","6","61","42","19","81","57","24","75","45","30","50","32","18","19","10","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bryne vidaregåande skule","Påbygging til generell studiekompetanse","60","10","50","94","26","68","190","74","116","118","43","75","117","45","72","117","38","79","149","43","106","147","48","99","112","35","77","128","42","86","120","32","88","117","32","85"
11,"Bryne vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","27","10","17","29","15","14","24","17","7","30","20","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bryne vidaregåande skule","Studiespesialisering","412","199","213","439","211","228","439","210","229","457","202","255","446","193","253","478","202","276","504","204","300","499","201","298","493","192","301","461","183","278","497","192","305","518","193","325"
11,"Bryne vidaregåande skule","Yrkesfaglig","645","408","237","717","421","296","728","439","289","749","445","304","709","419","290","718","429","289","704","402","302","718","408","310","742","391","351","771","421","350","771","439","332","821","442","379"
11,"Bryne vidaregåande skule","Bygg- og anleggsteknikk","127","121","6","133","123","10","132","124","8","138","133","5","119","114","5","119","110","9","117","107","10","131","122","9","133","120","13","128","118","10","134","119","15","145","125","20"
11,"Bryne vidaregåande skule","Design og håndverk",NA,NA,NA,"3","3",NA,"4","3","1","5","3","2","4","2","2","6","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bryne vidaregåande skule","Helse- og oppvekstfag","133","10","123","148","10","138","184","21","163","215","19","196","210","22","188","210","25","185","209","21","188","207","15","192","223","13","210","225","13","212","218","11","207","225","10","215"
11,"Bryne vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2","3","10","6","4","9","6","3","10","6","4","9","7","2"
11,"Bryne vidaregåande skule","Medier og kommunikasjon (gammel ordning)","56","38","18","61","39","22","26","16","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bryne vidaregåande skule","Restaurant- og matfag","41","16","25","88","39","49","87","46","41","78","35","43","78","36","42","75","36","39","71","36","35","72","39","33","72","30","42","78","36","42","60","30","30","68","41","27"
11,"Bryne vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","33","26","92","48","44","91","47","44","97","56","41","94","53","41","106","35","71"
11,"Bryne vidaregåande skule","Service og samferdsel","71","26","45","89","39","50","99","54","45","124","85","39","119","83","36","130","91","39","52","35","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Bryne vidaregåande skule","Teknologi- og industrifag","217","197","20","195","168","27","196","175","21","189","170","19","179","162","17","178","166","12","196","170","26","211","182","29","213","175","38","234","192","42","255","220","35","268","224","44"
