"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Dalane videregående skole","Alle utdanningsprogram","653","364","289","652","371","281","632","342","290","647","347","300","666","345","321","749","370","379","632","296","336","603","299","304","630","345","285","597","318","279","603","324","279","641","333","308","646","337","309","689","358","331"
11,"Dalane videregående skole","Studieforberedende","269","110","159","264","113","151","275","116","159","283","100","183","306","119","187","337","129","208","301","113","188","263","90","173","267","113","154","247","102","145","266","112","154","270","101","169","275","106","169","268","109","159"
11,"Dalane videregående skole","Påbygging til generell studiekompetanse","30","5","25","29","11","18","29","10","19","29","5","24","63","23","40","83","38","45","57","18","39","30","3","27","31","7","24","29","5","24","51","13","38","60","15","45","69","25","44","55","13","42"
11,"Dalane videregående skole","Studiespesialisering","239","105","134","235","102","133","246","106","140","254","95","159","243","96","147","254","91","163","244","95","149","233","87","146","236","106","130","218","97","121","215","99","116","210","86","124","206","81","125","213","96","117"
11,"Dalane videregående skole","Yrkesfaglig","384","254","130","388","258","130","357","226","131","364","247","117","360","226","134","412","241","171","331","183","148","340","209","131","363","232","131","350","216","134","337","212","125","371","232","139","371","231","140","421","249","172"
11,"Dalane videregående skole","Bygg- og anleggsteknikk","75","71","4","67","66","1","45","42","3","48","46","2","54","51","3","50","46","4","47","43","4","50","49","1","47","45","2","52","49","3","50","44","6","51","46","5","56","50","6","74","61","13"
11,"Dalane videregående skole","Design og håndverk","12",NA,"12","15","1","14","13","2","11","14","2","12","15","1","14","14",NA,"14","15","1","14","14","3","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Dalane videregående skole","Elektro og datateknologi","59","58","1","75","72","3","88","87","1","83","77","6","70","68","2","79","74","5","51","49","2","45","43","2","55","48","7","54","47","7","52","47","5","63","54","9","64","60","4","63","59","4"
11,"Dalane videregående skole","Helse- og oppvekstfag","88","7","81","81","8","73","72","6","66","76","8","68","101","8","93","147","19","128","113","12","101","115","17","98","123","21","102","105","13","92","87","7","80","86","6","80","100","13","87","117","10","107"
11,"Dalane videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","24","12","50","27","23","60","31","29","65","33","32","50","23","27","58","26","32"
11,"Dalane videregående skole","Service og samferdsel","30","18","12","36","10","26","34","9","25","37","18","19","39","23","16","41","28","13","33","19","14","36","22","14","15","10","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Dalane videregående skole","Teknologi- og industrifag","120","100","20","114","101","13","105","80","25","106","96","10","81","75","6","81","74","7","72","59","13","80","75","5","87","84","3","89","80","9","88","83","5","106","93","13","101","85","16","109","93","16"
