"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Gand videregående skole","Alle utdanningsprogram","1145","663","482","1121","655","466","900","549","351","863","530","333","923","585","338","908","586","322","980","606","374","1017","620","397","1068","660","408","1083","634","449","1047","637","410","1044","624","420","1103","647","456","1144","722","422"
11,"Gand videregående skole","Studieforberedende","267","137","130","273","141","132","119","38","81","119","41","78","166","74","92","155","63","92","170","55","115","213","65","148","225","90","135","231","76","155","162","59","103","146","43","103","146","23","123","145","45","100"
11,"Gand videregående skole","Idrettsfag","171","113","58","166","101","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Gand videregående skole","Påbygging til generell studiekompetanse","82","17","65","92","30","62","105","29","76","111","35","76","159","70","89","152","61","91","169","55","114","213","65","148","225","90","135","231","76","155","162","59","103","146","43","103","146","23","123","145","45","100"
11,"Gand videregående skole","Studiespesialisering","14","7","7","15","10","5","14","9","5","8","6","2","7","4","3","3","2","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Gand videregående skole","Yrkesfaglig","878","526","352","848","514","334","781","511","270","744","489","255","757","511","246","753","523","230","810","551","259","804","555","249","843","570","273","852","558","294","885","578","307","898","581","317","957","624","333","999","677","322"
11,"Gand videregående skole","Bygg- og anleggsteknikk","138","135","3","140","134","6","134","129","5","115","110","5","120","111","9","121","118","3","113","112","1","116","112","4","127","120","7","138","126","12","138","125","13","138","124","14","163","153","10","177","163","14"
11,"Gand videregående skole","Design og håndverk","72","2","70","65","4","61","36","5","31","13",NA,"13","15",NA,"15",NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Gand videregående skole","Elektro og datateknologi","133","122","11","134","127","7","134","129","5","134","123","11","136","132","4","134","131","3","136","123","13","134","124","10","132","119","13","131","121","10","140","128","12","149","136","13","150","138","12","177","163","14"
11,"Gand videregående skole","Helse- og oppvekstfag","213","23","190","181","16","165","159","17","142","158","8","150","160","18","142","160","17","143","198","27","171","199","30","169","199","35","164","194","23","171","197","13","184","188","15","173","195","21","174","204","26","178"
11,"Gand videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","27","3","58","53","5","75","70","5","76","68","8","86","75","11","82","76","6"
11,"Gand videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","42","49","147","74","73","155","83","72","164","83","81","161","75","86","151","75","76"
11,"Gand videregående skole","Service og samferdsel","160","97","63","164","85","79","157","97","60","163","105","58","167","102","65","180","118","62","191","129","62","187","133","54","91","70","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Gand videregående skole","Teknologi- og industrifag","162","147","15","164","148","16","161","134","27","161","143","18","159","148","11","158","139","19","171","160","11","167","156","11","173","157","16","184","161","23","180","159","21","183","155","28","202","162","40","208","174","34"
