"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Godalen videregående skole","Alle utdanningsprogram","647","417","230","688","476","212","663","430","233","603","394","209","553","386","167","657","418","239","654","416","238","669","426","243","664","414","250","669","402","267","676","435","241","784","551","233","789","533","256","835","582","253"
11,"Godalen videregående skole","Studieforberedende","36","14","22","51","18","33","57","15","42","86","28","58","81","40","41","76","28","48","67","20","47","56","22","34","80","20","60","102","39","63","58","24","34","32","15","17","21","2","19","27","14","13"
11,"Godalen videregående skole","Påbygging til generell studiekompetanse","36","14","22","51","18","33","57","15","42","86","28","58","81","40","41","76","28","48","67","20","47","56","22","34","80","20","60","102","39","63","58","24","34","32","15","17","21","2","19","27","14","13"
11,"Godalen videregående skole","Yrkesfaglig","611","403","208","637","458","179","606","415","191","517","366","151","472","346","126","581","390","191","587","396","191","613","404","209","584","394","190","567","363","204","618","411","207","752","536","216","768","531","237","808","568","240"
11,"Godalen videregående skole","Bygg- og anleggsteknikk","114","111","3","144","135","9","122","111","11","92","87","5","102","96","6","100","91","9","91","85","6","103","99","4","94","83","11","106","96","10","136","122","14","130","118","12","130","117","13","153","141","12"
11,"Godalen videregående skole","Design og håndverk","131","9","122","103","13","90","115","11","104","110","14","96","89","7","82","99","6","93","107","12","95","110","13","97","56","3","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Godalen videregående skole","Elektro og datateknologi","131","125","6","134","128","6","137","128","9","137","130","7","137","129","8","132","128","4","127","119","8","113","104","9","104","101","3","93","87","6","129","126","3","133","127","6","143","131","12","162","149","13"
11,"Godalen videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","4","37","84","4","80","77","4","73","88","4","84","90","6","84","75","7","68"
11,"Godalen videregående skole","Helse- og oppvekstfag","13","2","11","22","7","15","18","3","15","21","5","16","21","8","13","19","5","14","21","3","18","18","3","15","13","4","9","17","3","14","15","1","14","10","1","9","1",NA,"1","1",NA,"1"
11,"Godalen videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","3","8","28","5","23","38","6","32","38","4","34","37","6","31","41","6","35"
11,"Godalen videregående skole","Medier og kommunikasjon (gammel ordning)","13","11","2","10","9","1","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Godalen videregående skole","Naturbruk",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Godalen videregående skole","Restaurant- og matfag","91","41","50","81","37","44","70","33","37","10","4","6","11","6","5","9","6","3","10","5","5","10","5","5","9","6","3","10","7","3","11","4","7","6","1","5",NA,NA,NA,NA,NA,NA
11,"Godalen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","40","30","121","59","62","104","54","50","93","56","37","112","57","55","106","43","63"
11,"Godalen videregående skole","Service og samferdsel","1","1",NA,"4","3","1","2","1","1","21","17","4","11","8","3","156","91","65","147","91","56","148","77","71","57","26","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Godalen videregående skole","Teknologi- og industrifag","117","103","14","138","125","13","134","120","14","126","109","17","101","92","9","66","63","3","84","81","3","110","102","8","129","124","5","108","102","6","108","94","14","254","225","29","255","214","41","270","222","48"
