"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Haugaland videregående skole","Alle utdanningsprogram","774","408","366","777","413","364","783","406","377","771","448","323","833","509","324","816","469","347","797","423","374","795","419","376","785","408","377","778","413","365","826","428","398","817","425","392","877","455","422","856","459","397"
11,"Haugaland videregående skole","Studieforberedende","140","39","101","144","43","101","151","39","112","134","55","79","123","37","86","130","35","95","147","43","104","156","45","111","166","60","106","159","38","121","171","45","126","129","25","104","161","33","128","120","23","97"
11,"Haugaland videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","2","28","52","9","43","82","11","71","66","10","56","72","15","57","68","12","56","79","12","67","71","9","62","74","10","64","62","8","54"
11,"Haugaland videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,NA,NA,NA,"1","1",NA,"2","2",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Påbygging til generell studiekompetanse","52","19","33","57","21","36","59","14","45","58","29","29","59","24","35","59","22","37","63","30","33","90","35","55","92","43","49","89","24","65","91","32","59","57","15","42","87","23","64","58","15","43"
11,"Haugaland videregående skole","Studiespesialisering","26","14","12","23","15","8","29","18","11","19","16","3","4","3","1","2","1","1",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Studiespesialisering med formgivning","62","6","56","64","7","57","63","7","56","57","10","47","30","8","22","16","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Yrkesfaglig","634","369","265","633","370","263","632","367","265","637","393","244","710","472","238","686","434","252","650","380","270","639","374","265","619","348","271","619","375","244","655","383","272","688","400","288","716","422","294","736","436","300"
11,"Haugaland videregående skole","Bygg- og anleggsteknikk","82","79","3","83","80","3","94","90","4","97","91","6","119","112","7","117","112","5","91","88","3","92","84","8","85","73","12","97","90","7","100","88","12","104","88","16","103","86","17","89","81","8"
11,"Haugaland videregående skole","Design og håndverk","67","6","61","66","2","64","60","1","59","63","4","59","63","6","57","71","2","69","72","2","70","57","4","53","25","1","24","10",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","2","25","57","5","52","61","3","58","71","4","67","69","1","68","71","3","68"
11,"Haugaland videregående skole","Helse- og oppvekstfag","114","6","108","110","10","100","116","10","106","114","15","99","123","18","105","138","26","112","148","26","122","149","24","125","153","27","126","132","35","97","136","21","115","135","19","116","133","19","114","158","25","133"
11,"Haugaland videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","28","3","65","60","5","60","53","7","77","63","14","89","75","14","89","77","12"
11,"Haugaland videregående skole","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","2","2",NA,"4","3","1","3","2","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1",NA,"2","1","1","1","1",NA
11,"Haugaland videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","23","11","48","22","26","60","25","35","40","18","22","47","17","30","60","18","42"
11,"Haugaland videregående skole","Service og samferdsel","148","81","67","140","74","66","130","70","60","146","102","44","162","114","48","149","109","40","152","105","47","154","101","53","91","57","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Haugaland videregående skole","Teknologi- og industrifag","223","197","26","234","204","30","232","196","36","217","181","36","239","219","20","207","181","26","183","156","27","184","159","25","172","137","35","210","163","47","238","193","45","260","207","53","273","223","50","268","231","37"
