"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Karmsund videregående skole","Alle utdanningsprogram","571","345","226","562","336","226","531","322","209","569","350","219","564","359","205","557","321","236","543","276","267","553","279","274","534","270","264","579","302","277","581","293","288","578","297","281","594","309","285","708","394","314"
11,"Karmsund videregående skole","Studieforberedende","75","40","35","98","39","59","93","42","51","72","27","45","59","32","27","51","29","22","57","21","36","52","23","29","52","20","32","44","18","26","36","10","26","37","9","28","26","7","19","21","5","16"
11,"Karmsund videregående skole","Påbygging til generell studiekompetanse","27","10","17","53","15","38","46","14","32","46","11","35","55","28","27","49","27","22","56","20","36","52","23","29","50","19","31","41","17","24","31","7","24","34","7","27","24","5","19","19","3","16"
11,"Karmsund videregående skole","Studiespesialisering","48","30","18","45","24","21","47","28","19","26","16","10","4","4",NA,"2","2",NA,"1","1",NA,NA,NA,NA,"2","1","1","3","1","2","5","3","2","3","2","1","2","2",NA,"2","2",NA
11,"Karmsund videregående skole","Yrkesfaglig","496","305","191","464","297","167","438","280","158","497","323","174","505","327","178","506","292","214","486","255","231","501","256","245","482","250","232","535","284","251","545","283","262","541","288","253","568","302","266","687","389","298"
11,"Karmsund videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,"2","1","1",NA,NA,NA,"2","2",NA,"1","1",NA,"2","2",NA,"2","2",NA,"2","2",NA,NA,NA,NA,NA,NA,NA
11,"Karmsund videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","1","6","5","1","4","2","2","2",NA,"2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Karmsund videregående skole","Elektro og datateknologi","130","123","7","133","126","7","135","124","11","134","126","8","121","113","8","103","95","8","101","95","6","100","90","10","98","91","7","113","105","8","120","109","11","136","120","16","150","129","21","195","166","29"
11,"Karmsund videregående skole","Helse- og oppvekstfag","97","2","95","83","1","82","89","8","81","82","9","73","109","9","100","151","13","138","167","14","153","177","15","162","174","17","157","182","26","156","187","19","168","166","8","158","149","7","142","155","10","145"
11,"Karmsund videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","3","3","6","4","2","8","5","3","7","3","4","6","1","5"
11,"Karmsund videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","12","9","3","10","7","3","4","3","1","3","3",NA,"2","2",NA,"2","2",NA,"2","2",NA,"2","2",NA,"3","3",NA,"6","6",NA
11,"Karmsund videregående skole","Restaurant- og matfag","108","54","54","100","51","49","86","41","45","111","55","56","94","53","41","93","49","44","90","40","50","79","39","40","68","30","38","79","35","44","76","28","48","72","32","40","74","30","44","83","37","46"
11,"Karmsund videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","2","1","1","2","1","1","2","2",NA,"4","4",NA,"4","4",NA
11,"Karmsund videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","8","5","3","11","7","4","5","3","2","5","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Karmsund videregående skole","Teknologi- og industrifag","161","126","35","148","119","29","128","107","21","158","124","34","153","131","22","132","118","14","117","100","17","133","105","28","136","108","28","149","110","39","150","118","32","153","117","36","181","126","55","238","165","73"
