"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Lundeneset Vgs","Alle utdanningsprogram","183","77","106","178","72","106","186","66","120","191","78","113","189","83","106","184","82","102","190","86","104","190","85","105","189","77","112","188","81","107","184","75","109","182","80","102","191","85","106","194","92","102"
11,"Lundeneset Vgs","Studieforberedende","120","46","74","115","44","71","122","42","80","126","46","80","122","49","73","123","49","74","120","51","69","117","53","64","122","49","73","124","46","78","118","42","76","118","55","63","113","45","68","119","47","72"
11,"Lundeneset Vgs","Påbygging til generell studiekompetanse","29","11","18","22","11","11","28","12","16","30","13","17","26","13","13","31","15","16","28","14","14","27","16","11","29","14","15","28","11","17","25","11","14","28","17","11","25","9","16","30","10","20"
11,"Lundeneset Vgs","Studiespesialisering","91","35","56","93","33","60","94","30","64","96","33","63","96","36","60","92","34","58","92","37","55","90","37","53","93","35","58","96","35","61","93","31","62","90","38","52","88","36","52","89","37","52"
11,"Lundeneset Vgs","Yrkesfaglig","63","31","32","63","28","35","64","24","40","65","32","33","67","34","33","61","33","28","70","35","35","73","32","41","67","28","39","64","35","29","66","33","33","64","25","39","78","40","38","75","45","30"
11,"Lundeneset Vgs","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","8","11","35","18","17","38","18","20","37","13","24","19","5","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Lundeneset Vgs","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","10","8","32","21","11","27","18","9","27","16","11","38","23","15","39","27","12"
11,"Lundeneset Vgs","Medier og kommunikasjon (gammel ordning)","33","11","22","33","11","22","34","11","23","35","16","19","18","8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Lundeneset Vgs","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","7","9","32","14","18","39","15","24","37","9","28","40","17","23","36","18","18"
11,"Lundeneset Vgs","Service og samferdsel","30","20","10","30","17","13","30","13","17","30","16","14","30","18","12","26","15","11","32","17","15","36","19","17","14","6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
