"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Møllehagen skolesenter grunnskole og videregående skole","Alle utdanningsprogram","66","21","45","72","21","51","67","22","45","75","24","51","89","33","56","81","26","55","93","29","64","83","24","59","87","20","67","83","22","61","92","22","70","97","18","79","91","21","70","82","24","58"
11,"Møllehagen skolesenter grunnskole og videregående skole","Studieforberedende","62","21","41","62","17","45","57","19","38","66","23","43","73","26","47","73","24","49","76","25","51","67","20","47","71","18","53","72","20","52","84","18","66","83","14","69","69","14","55","68","20","48"
11,"Møllehagen skolesenter grunnskole og videregående skole","Idrettsfag","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","1",NA,"1","1",NA,"1","4",NA,"4","6",NA,"6","6","1","5","5",NA,"5","1",NA,"1"
11,"Møllehagen skolesenter grunnskole og videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Musikk, dans og drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","1",NA,"1",NA,NA,NA,"2",NA,"2",NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Påbygging til generell studiekompetanse","10","4","6","9","2","7","9","1","8","10","3","7","19","7","12","16","5","11","23","9","14","17","6","11","13","4","9","22","8","14","11","5","6","8","1","7","8","2","6","17","4","13"
11,"Møllehagen skolesenter grunnskole og videregående skole","Studiespesialisering","51","16","35","53","15","38","48","18","30","56","20","36","52","18","34","57","19","38","51","16","35","48","13","35","56","14","42","42","9","33","66","13","53","69","12","57","53","11","42","50","16","34"
11,"Møllehagen skolesenter grunnskole og videregående skole","Studiespesialisering med formgivning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Yrkesfaglig","4",NA,"4","10","4","6","10","3","7","9","1","8","16","7","9","8","2","6","17","4","13","16","4","12","16","2","14","11","2","9","8","4","4","14","4","10","22","7","15","14","4","10"
11,"Møllehagen skolesenter grunnskole og videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1","1",NA,"1","2",NA,"2","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","2",NA,"2"
11,"Møllehagen skolesenter grunnskole og videregående skole","Helse- og oppvekstfag","2",NA,"2","10","4","6","7","2","5","4",NA,"4","8","1","7","5",NA,"5","11","1","10","7",NA,"7","6",NA,"6","4","1","3","1",NA,"1","5","1","4","13","4","9","7","1","6"
11,"Møllehagen skolesenter grunnskole og videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,"1","1",NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Medier og kommunikasjon (gammel ordning)","1",NA,"1",NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1","2","1","1","2",NA,"2","1",NA,"1","1",NA,"1","2",NA,"2","1",NA,"1",NA,NA,NA
11,"Møllehagen skolesenter grunnskole og videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"4","4",NA,"4","4","3","1","2","1","1","3",NA,"3","1",NA,"1"
