"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Randaberg videregående skole","Alle utdanningsprogram","837","465","372","853","506","347","835","496","339","845","506","339","876","530","346","873","499","374","820","459","361","806","460","346","846","499","347","764","414","350","760","437","323","749","435","314","691","396","295","627","386","241"
11,"Randaberg videregående skole","Studieforberedende","445","211","234","456","234","222","450","238","212","418","211","207","487","272","215","483","251","232","452","228","224","431","210","221","468","242","226","396","172","224","376","166","210","350","150","200","306","135","171","235","98","137"
11,"Randaberg videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","15","15","55","26","29","82","40","42","51","25","26","27","17","10","2","2",NA,"2","2",NA,"2","2",NA,"2","1","1","1",NA,"1"
11,"Randaberg videregående skole","Påbygging til generell studiekompetanse","55","34","21","60","45","15","59","38","21","30","13","17","74","50","24","88","55","33","86","39","47","87","27","60","129","65","64","87","25","62","86","25","61","91","18","73","85","22","63","83","20","63"
11,"Randaberg videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","15","6","9","16","6","10","16","7","9","28","14","14","30","17","13","27","12","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Randaberg videregående skole","Studiespesialisering","375","171","204","380","183","197","375","193","182","360","184","176","353","190","163","313","158","155","284","149","135","293","158","135","312","160","152","307","145","162","288","139","149","257","130","127","219","112","107","151","78","73"
11,"Randaberg videregående skole","Yrkesfaglig","392","254","138","397","272","125","385","258","127","427","295","132","389","258","131","390","248","142","368","231","137","375","250","125","378","257","121","368","242","126","384","271","113","399","285","114","385","261","124","392","288","104"
11,"Randaberg videregående skole","Elektro og datateknologi","90","87","3","87","84","3","91","91",NA,"105","103","2","92","90","2","93","90","3","75","73","2","68","67","1","73","70","3","72","69","3","86","85","1","90","87","3","79","73","6","81","80","1"
11,"Randaberg videregående skole","Helse- og oppvekstfag","103","10","93","101","14","87","98","9","89","103","14","89","114","17","97","149","23","126","153","30","123","150","40","110","147","43","104","141","31","110","129","30","99","112","16","96","116","16","100","106","21","85"
11,"Randaberg videregående skole","Medier og kommunikasjon (gammel ordning)","60","28","32","57","27","30","56","32","24","60","33","27","28","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Randaberg videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","4",NA,"4","5",NA,"5","5",NA,"5","4",NA,"4","8","2","6","8","3","5","9","4","5","6","3","3","4","2","2","4","1","3"
11,"Randaberg videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5",NA,"8","6","2","8","5","3","6","4","2","4","3","1"
11,"Randaberg videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","1","6","5","1","7","6","1","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Randaberg videregående skole","Teknologi- og industrifag","139","129","10","152","147","5","140","126","14","157","145","12","145","135","10","137","130","7","128","122","6","145","136","9","150","142","8","142","134","8","152","146","6","183","174","9","180","166","14","197","183","14"
