"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Sauda vidaregåande skule","Alle utdanningsprogram","397","216","181","409","203","206","404","196","208","424","211","213","411","211","200","375","200","175","355","186","169","340","173","167","387","207","180","401","200","201","358","196","162","351","161","190","348","161","187","382","192","190"
11,"Sauda vidaregåande skule","Studieforberedende","202","81","121","229","86","143","236","88","148","255","104","151","239","100","139","225","97","128","209","87","122","190","78","112","204","88","116","220","88","132","186","79","107","189","68","121","184","71","113","204","78","126"
11,"Sauda vidaregåande skule","Idrettsfag","14","7","7","25","12","13","32","15","17","47","24","23","40","24","16","40","26","14","33","20","13","23","11","12","25","13","12","33","15","18","37","17","20","36","14","22","33","17","16","48","23","25"
11,"Sauda vidaregåande skule","Påbygging til generell studiekompetanse","14","3","11","22","7","15","18","6","12","26","11","15","27","9","18","31","9","22","28","6","22","28","9","19","31","12","19","52","15","37","30","6","24","27","4","23","22","2","20","16","4","12"
11,"Sauda vidaregåande skule","Studiespesialisering","174","71","103","182","67","115","186","67","119","182","69","113","172","67","105","154","62","92","148","61","87","139","58","81","148","63","85","135","58","77","119","56","63","126","50","76","129","52","77","140","51","89"
11,"Sauda vidaregåande skule","Yrkesfaglig","195","135","60","180","117","63","168","108","60","169","107","62","172","111","61","150","103","47","146","99","47","150","95","55","183","119","64","181","112","69","172","117","55","162","93","69","164","90","74","178","114","64"
11,"Sauda vidaregåande skule","Bygg- og anleggsteknikk","25","20","5","19","17","2","19","18","1","13","12","1","12","10","2","7","7",NA,"8","8",NA,"12","11","1","10","9","1","11","9","2","13","11","2","11","9","2","16","15","1","15","14","1"
11,"Sauda vidaregåande skule","Elektro og datateknologi","28","28",NA,"24","23","1","31","27","4","31","29","2","31","28","3","30","27","3","26","24","2","26","23","3","29","25","4","27","25","2","27","23","4","20","15","5","19","14","5","24","24",NA
11,"Sauda vidaregåande skule","Helse- og oppvekstfag","52","6","46","59","9","50","46","5","41","52","6","46","55","6","49","42","4","38","47","9","38","49","7","42","50","4","46","44","3","41","34","4","30","47","1","46","44","3","41","45","3","42"
11,"Sauda vidaregåande skule","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,"1","1",NA,"1","1",NA,"1"
11,"Sauda vidaregåande skule","Service og samferdsel","26","22","4","30","22","8","22","16","6","29","22","7","27","24","3","27","26","1","15","15",NA,"12","11","1","25","22","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Sauda vidaregåande skule","Teknologi- og industrifag","64","59","5","48","46","2","50","42","8","44","38","6","47","43","4","43","39","4","50","43","7","51","43","8","69","59","10","98","75","23","98","79","19","83","68","15","84","58","26","93","73","20"
