"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Strand videregående skole","Alle utdanningsprogram","422","232","190","446","227","219","515","274","241","547","293","254","555","311","244","552","314","238","570","326","244","590","325","265","627","355","272","609","338","271","612","357","255","599","347","252","605","353","252","663","373","290"
11,"Strand videregående skole","Studieforberedende","251","114","137","274","111","163","294","126","168","287","129","158","294","144","150","288","136","152","282","126","156","297","127","170","316","140","176","286","115","171","296","137","159","274","122","152","270","123","147","273","115","158"
11,"Strand videregående skole","Idrettsfag","75","42","33","73","36","37","80","44","36","78","47","31","88","57","31","88","51","37","88","48","40","85","37","48","82","45","37","76","39","37","80","44","36","79","39","40","84","42","42","82","38","44"
11,"Strand videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"13","3","10","20","9","11","21","8","13","23","13","10"
11,"Strand videregående skole","Studieforberedende Vg3 Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","11","1","12","9","3",NA,NA,NA,"15","10","5","9","7","2","6","4","2","7","6","1"
11,"Strand videregående skole","Studiespesialisering","176","72","104","201","75","126","214","82","132","209","82","127","206","87","119","200","85","115","194","78","116","200","79","121","221","85","136","210","76","134","188","80","108","166","67","99","159","69","90","161","58","103"
11,"Strand videregående skole","Yrkesfaglig","171","118","53","172","116","56","221","148","73","260","164","96","261","167","94","264","178","86","288","200","88","293","198","95","311","215","96","323","223","100","316","220","96","325","225","100","335","230","105","390","258","132"
11,"Strand videregående skole","Elektro og datateknologi","46","42","4","48","40","8","54","46","8","61","50","11","53","47","6","49","46","3","39","37","2","38","33","5","59","52","7","59","54","5","59","54","5","59","52","7","60","53","7","60","54","6"
11,"Strand videregående skole","Helse- og oppvekstfag","28","4","24","27","3","24","35","4","31","55","5","50","73","11","62","73","10","63","62","8","54","62","9","53","59","10","49","59","7","52","59","5","54","50","4","46","51","4","47","62","2","60"
11,"Strand videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,"34","29","5","40","31","9","37","28","9","56","48","8","79","69","10","82","69","13","81","70","11","96","82","14","93","80","13","98","78","20","98","79","19","99","74","25"
11,"Strand videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","15","16","43","21","22","38","25","13","37","25","12","49","25","24","61","33","28"
11,"Strand videregående skole","Service og samferdsel","23","6","17","26","9","17","28","7","21","34","14","20","37","26","11","35","25","10","40","23","17","43","24","19","12","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Strand videregående skole","Teknologi- og industrifag","74","66","8","71","64","7","70","62","8","70","64","6","61","55","6","51","49","2","68","63","5","68","63","5","69","58","11","66","59","7","67","56","11","81","66","15","77","69","8","108","95","13"
