"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter"
11,"Time vidaregåande skole (Nedlagt)","Alle utdanningsprogram","793","492","301"
11,"Time vidaregåande skole (Nedlagt)","Studieforberedende","119","44","75"
11,"Time vidaregåande skole (Nedlagt)","Påbygging til generell studiekompetanse","60","17","43"
11,"Time vidaregåande skole (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","30","12","18"
11,"Time vidaregåande skole (Nedlagt)","Studiespesialisering","29","15","14"
11,"Time vidaregåande skole (Nedlagt)","Yrkesfaglig","674","448","226"
11,"Time vidaregåande skole (Nedlagt)","Bygg- og anleggsteknikk","185","173","12"
11,"Time vidaregåande skole (Nedlagt)","Helse- og oppvekstfag","128","10","118"
11,"Time vidaregåande skole (Nedlagt)","Medier og kommunikasjon (gammel ordning)","69","26","43"
11,"Time vidaregåande skole (Nedlagt)","Restaurant- og matfag","39","17","22"
11,"Time vidaregåande skole (Nedlagt)","Service og samferdsel","6","2","4"
11,"Time vidaregåande skole (Nedlagt)","Teknologi- og industrifag","247","220","27"
