"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Vågen videregående skole","Alle utdanningsprogram","778","218","560","789","232","557","805","245","560","835","245","590","818","254","564","796","255","541","781","264","517","772","244","528","752","251","501","743","242","501","756","232","524","758","238","520","789","217","572","791","220","571"
11,"Vågen videregående skole","Studieforberedende","483","125","358","512","146","366","512","150","362","555","153","402","604","190","414","646","214","432","651","227","424","625","203","422","606","203","403","588","192","396","585","169","416","576","158","418","602","142","460","607","148","459"
11,"Vågen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","18","42","106","27","79","152","43","109","163","36","127","165","40","125","166","33","133","175","28","147","168","28","140","184","22","162","181","23","158"
11,"Vågen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","36","25","102","60","42","153","84","69","119","69","50","107","63","44","90","53","37","91","46","45","90","39","51","93","30","63","91","21","70"
11,"Vågen videregående skole","Musikk, dans og drama","340","97","243","339","107","232","334","109","225","345","109","236","339","98","241","345","95","250","346","100","246","343","98","245","334","100","234","332","106","226","319","95","224","318","91","227","325","90","235","335","104","231"
11,"Vågen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","45","15","30","47","20","27","45","21","24","46","20","26","43","25","18","45","22","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Vågen videregående skole","Studiespesialisering med formgivning","98","13","85","126","19","107","133","20","113","164","24","140","101","13","88","48","10","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Vågen videregående skole","Yrkesfaglig","295","93","202","277","86","191","293","95","198","280","92","188","214","64","150","150","41","109","130","37","93","147","41","106","146","48","98","155","50","105","171","63","108","182","80","102","187","75","112","184","72","112"
11,"Vågen videregående skole","Design og håndverk","104","13","91","86","8","78","103","10","93","121","13","108","135","23","112","142","35","107","130","37","93","147","41","106","74","22","52","33","8","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Vågen videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","3","39","72","3","69","98","7","91","91","4","87","98","4","94","97","6","91"
11,"Vågen videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","23","7","50","39","11","73","56","17","91","76","15","89","71","18","87","66","21"
11,"Vågen videregående skole","Medier og kommunikasjon (gammel ordning)","191","80","111","191","78","113","190","85","105","159","79","80","79","41","38","8","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
