"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Åkrehamn vidaregåande skole","Alle utdanningsprogram","466","277","189","468","279","189","477","300","177","517","296","221","518","304","214","453","283","170","457","283","174","431","267","164","429","273","156","460","295","165","476","307","169","491","303","188","533","327","206","532","317","215"
11,"Åkrehamn vidaregåande skole","Studieforberedende","45","28","17","41","19","22","48","22","26","39","16","23","64","32","32","9","6","3","5","3","2","4","3","1","4","3","1","5","3","2","2","1","1","2",NA,"2","1",NA,"1","1",NA,"1"
11,"Åkrehamn vidaregåande skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","12","18","1","1",NA,"1","1",NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Åkrehamn vidaregåande skole","Studieforberedende Vg3 Medier og kommunikasjon","15","9","6","15","3","12","15","4","11","16","3","13","17","9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Åkrehamn vidaregåande skole","Studiespesialisering","30","19","11","26","16","10","33","18","15","23","13","10","17","11","6","8","5","3","4","2","2","4","3","1","3","2","1","4","2","2","1",NA,"1","2",NA,"2","1",NA,"1","1",NA,"1"
11,"Åkrehamn vidaregåande skole","Yrkesfaglig","421","249","172","427","260","167","429","278","151","478","280","198","454","272","182","444","277","167","452","280","172","427","264","163","425","270","155","455","292","163","474","306","168","489","303","186","532","327","205","531","317","214"
11,"Åkrehamn vidaregåande skole","Bygg- og anleggsteknikk","57","56","1","67","62","5","66","62","4","66","60","6","68","62","6","65","64","1","63","60","3","60","54","6","62","58","4","57","52","5","63","58","5","68","62","6","78","76","2","71","68","3"
11,"Åkrehamn vidaregåande skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Åkrehamn vidaregåande skole","Elektro og datateknologi","106","93","13","105","89","16","109","99","10","112","87","25","116","92","24","100","88","12","98","86","12","89","76","13","103","93","10","115","105","10","130","111","19","143","116","27","158","119","39","167","132","35"
11,"Åkrehamn vidaregåande skole","Helse- og oppvekstfag","106","10","96","87","4","83","77","4","73","116","10","106","123","5","118","123","14","109","124","16","108","112","17","95","110","12","98","115","15","100","90","7","83","95","3","92","100","7","93","105","7","98"
11,"Åkrehamn vidaregåande skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"2","1","1","4","2","2","3","2","1"
11,"Åkrehamn vidaregåande skole","Medier og kommunikasjon (gammel ordning)","51","13","38","53","12","41","56","21","35","63","30","33","28","13","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Åkrehamn vidaregåande skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","1",NA,"1","1",NA,"1","2",NA,"2","5","2","3","4","2","2","3","2","1","1","1",NA
11,"Åkrehamn vidaregåande skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","17","16","54","29","25","61","31","30","55","22","33","52","22","30","51","23","28"
11,"Åkrehamn vidaregåande skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"39","16","23","53","22","31","52","30","22","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Åkrehamn vidaregåande skole","Teknologi- og industrifag","101","77","24","115","93","22","121","92","29","121","93","28","117","98","19","115","95","20","112","96","16","111","87","24","101","83","18","111","91","20","125","97","28","122","97","25","137","99","38","133","84","49"
