"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Øksnevad videregående skole","Alle utdanningsprogram","200","77","123","191","68","123","296","173","123","320","173","147","347","183","164","384","206","178","379","204","175","369","180","189","375","174","201","391","180","211","339","153","186","353","174","179","361","170","191","355","168","187"
11,"Øksnevad videregående skole","Studieforberedende","77","33","44","65","28","37","69","31","38","63","17","46","87","25","62","89","22","67","55","9","46","49","11","38","58","17","41","68","12","56","39","3","36","39","5","34","52","4","48","47","5","42"
11,"Øksnevad videregående skole","Påbygging til generell studiekompetanse","29","8","21","26","5","21","28","13","15","30","7","23","57","19","38","70","18","52","29","8","21","32","10","22","27","15","12","25","8","17",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA
11,"Øksnevad videregående skole","Studieforberedende Vg3 Naturbruk","18","3","15","10","2","8","20","2","18","19","2","17","23","3","20","19","4","15","26","1","25","17","1","16","31","2","29","43","4","39","39","3","36","37","5","32","52","4","48","47","5","42"
11,"Øksnevad videregående skole","Studiespesialisering","30","22","8","29","21","8","21","16","5","14","8","6","7","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Øksnevad videregående skole","Yrkesfaglig","123","44","79","126","40","86","227","142","85","257","156","101","260","158","102","295","184","111","324","195","129","320","169","151","317","157","160","323","168","155","300","150","150","314","169","145","309","166","143","308","163","145"
11,"Øksnevad videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,"59","59",NA,"59","56","3","60","56","4","60","58","2","63","58","5","61","56","5","60","53","7","67","58","9","74","58","16","69","56","13","75","61","14","64","50","14"
11,"Øksnevad videregående skole","Naturbruk","123","44","79","126","40","86","123","39","84","149","53","96","154","57","97","189","83","106","203","81","122","219","79","140","213","64","149","210","69","141","190","59","131","203","73","130","189","66","123","200","74","126"
11,"Øksnevad videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Øksnevad videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Øksnevad videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Øksnevad videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,"45","44","1","48","47","1","45","45",NA,"44","43","1","58","56","2","40","34","6","44","40","4","43","39","4","36","33","3","42","40","2","45","39","6","44","39","5"
