"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Ølen vidaregåande skule","Alle utdanningsprogram","265","141","124","257","121","136","242","111","131","234","111","123","255","114","141","341","166","175","335","145","190","311","152","159","295","130","165","290","126","164","285","133","152","296","131","165","299","135","164","319","143","176"
11,"Ølen vidaregåande skule","Studieforberedende","124","43","81","125","35","90","128","38","90","125","44","81","136","43","93","180","59","121","181","49","132","157","54","103","142","40","102","152","42","110","140","44","96","157","44","113","158","48","110","164","57","107"
11,"Ølen vidaregåande skule","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","21","19","45","17","28","45","20","25","28","11","17","22","6","16","15","1","14","16","1","15","19","8","11","24","8","16"
11,"Ølen vidaregåande skule","Påbygging til generell studiekompetanse","26","7","19","21","3","18","22","7","15","18","10","8","17","9","8","28","11","17","30","6","24","22","6","16","30","4","26","30","4","26","25","7","18","25","5","20","22","1","21","20","8","12"
11,"Ølen vidaregåande skule","Studiespesialisering","98","36","62","104","32","72","106","31","75","107","34","73","119","34","85","112","27","85","106","26","80","90","28","62","84","25","59","100","32","68","100","36","64","116","38","78","117","39","78","120","41","79"
11,"Ølen vidaregåande skule","Yrkesfaglig","141","98","43","132","86","46","114","73","41","109","67","42","119","71","48","161","107","54","154","96","58","154","98","56","153","90","63","138","84","54","145","89","56","139","87","52","141","87","54","155","86","69"
11,"Ølen vidaregåande skule","Bygg- og anleggsteknikk","21","19","2","22","20","2","16","14","2","21","20","1","18","18",NA,"24","23","1","24","24",NA,"17","14","3","14","14",NA,"19","15","4","19","15","4","16","12","4","24","19","5","26","23","3"
11,"Ølen vidaregåande skule","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","2","7","12","3","9","5","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Ølen vidaregåande skule","Elektro og datateknologi","45","43","2","36","33","3","29","27","2","30","24","6","30","27","3","28","28",NA,"21","20","1","26","22","4","30","23","7","28","22","6","31","24","7","30","27","3","28","23","5","30","24","6"
11,"Ølen vidaregåande skule","Helse- og oppvekstfag","32",NA,"32","30","3","27","31","5","26","32","3","29","41","1","40","45","4","41","48","5","43","43","4","39","49","2","47","43","2","41","43","2","41","38","2","36","36",NA,"36","46",NA,"46"
11,"Ølen vidaregåande skule","Restaurant- og matfag","12","9","3","7","5","2","10","4","6","5","2","3","3","1","2","3","1","2","2","1","1","1",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,"3","1","2"
11,"Ølen vidaregåande skule","Teknologi- og industrifag","31","27","4","37","25","12","28","23","5","21","18","3","27","24","3","52","49","3","47","43","4","62","57","5","59","51","8","48","45","3","51","48","3","54","46","8","53","45","8","50","38","12"
