"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Akademiet Vgs Ålesund","Alle utdanningsprogram","289","115","174","277","118","159","301","131","170","329","166","163","345","183","162","331","182","149","326","166","160","330","156","174","311","122","189","328","130","198","314","114","200","317","104","213","331","104","227","269","88","181"
15,"Akademiet Vgs Ålesund","Studieforberedende","161","55","106","153","63","90","183","66","117","197","84","113","264","130","134","282","143","139","286","135","151","289","127","162","263","91","172","281","102","179","266","88","178","276","82","194","283","71","212","219","56","163"
15,"Akademiet Vgs Ålesund","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","33","15","60","37","23","87","44","43","86","40","46","88","31","57","92","45","47","79","37","42","86","34","52","90","29","61","71","22","49"
15,"Akademiet Vgs Ålesund","Påbygging til generell studiekompetanse","29","7","22","28","14","14","16","13","3","30","17","13","26","17","9","30","17","13","28","13","15","29","20","9","23","15","8","26","13","13","29","9","20","30","13","17","27","4","23",NA,NA,NA
15,"Akademiet Vgs Ålesund","Studieforberedende Vg3 Medier og kommunikasjon","21","9","12","24","9","15","29","9","20","13","9","4","19","14","5","20","13","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Akademiet Vgs Ålesund","Studiespesialisering","111","39","72","101","40","61","138","44","94","154","58","96","171","66","105","172","76","96","171","78","93","174","67","107","152","45","107","163","44","119","158","42","116","160","35","125","166","38","128","148","34","114"
15,"Akademiet Vgs Ålesund","Yrkesfaglig","128","60","68","124","55","69","118","65","53","132","82","50","81","53","28","49","39","10","40","31","9","41","29","12","48","31","17","47","28","19","48","26","22","41","22","19","48","33","15","50","32","18"
15,"Akademiet Vgs Ålesund","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","12","1","27","25","2","28","22","6","24","19","5","30","27","3","30","29","1"
15,"Akademiet Vgs Ålesund","Medier og kommunikasjon (gammel ordning)","80","32","48","79","26","53","71","37","34","83","44","39","31","17","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Akademiet Vgs Ålesund","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","4","7","20","3","17","20","4","16","17","3","14","18","6","12","20","3","17"
15,"Akademiet Vgs Ålesund","Service og samferdsel","48","28","20","45","29","16","47","28","19","49","38","11","50","36","14","49","39","10","40","31","9","41","29","12","24","15","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
