"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Borgund vidaregåande skole","Alle utdanningsprogram","852","472","380","908","506","402","877","502","375","881","492","389","849","470","379","858","505","353","846","493","353","822","472","350","878","514","364","882","509","373","907","521","386","890","507","383","926","527","399","943","530","413"
15,"Borgund vidaregåande skole","Studieforberedende","55","19","36","52","13","39","55","15","40","54","16","38","55","16","39","56","8","48","56","11","45","56","14","42","55","16","39","55","22","33","53","17","36","58","12","46",NA,NA,NA,NA,NA,NA
15,"Borgund vidaregåande skole","Påbygging til generell studiekompetanse","55","19","36","52","13","39","55","15","40","54","16","38","55","16","39","56","8","48","56","11","45","56","14","42","55","16","39","55","22","33","53","17","36","58","12","46",NA,NA,NA,NA,NA,NA
15,"Borgund vidaregåande skole","Yrkesfaglig","797","453","344","856","493","363","822","487","335","827","476","351","794","454","340","802","497","305","790","482","308","766","458","308","823","498","325","827","487","340","854","504","350","832","495","337","926","527","399","943","530","413"
15,"Borgund vidaregåande skole","Bygg- og anleggsteknikk","134","130","4","162","157","5","155","148","7","155","152","3","140","135","5","147","139","8","137","126","11","116","109","7","136","124","12","144","128","16","148","125","23","148","126","22","168","144","24","150","126","24"
15,"Borgund vidaregåande skole","Design og håndverk","124","3","121","125","8","117","107","11","96","114","8","106","98","5","93","87","11","76","80","7","73","77","9","68","48","3","45","13",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Borgund vidaregåande skole","Elektro og datateknologi","157","151","6","154","139","15","157","141","16","153","141","12","155","144","11","166","158","8","166","160","6","163","152","11","185","178","7","180","172","8","178","169","9","174","169","5","190","179","11","217","203","14"
15,"Borgund vidaregåande skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","2","28","53","1","52","64","3","61","66","7","59","85","7","78","97","11","86"
15,"Borgund vidaregåande skole","Helse- og oppvekstfag","169","13","156","189","18","171","168","13","155","180","17","163","179","14","165","181","24","157","188","23","165","192","21","171","186","23","163","184","18","166","179","26","153","172","22","150","214","21","193","223","19","204"
15,"Borgund vidaregåande skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","3","12","24","5","19","27","4","23","33","4","29","31","6","25","30","6","24"
15,"Borgund vidaregåande skole","Restaurant- og matfag","76","29","47","83","41","42","90","43","47","84","31","53","80","33","47","81","43","38","77","42","35","74","39","35","79","44","35","84","45","39","83","38","45","72","31","41","75","29","46","74","35","39"
15,"Borgund vidaregåande skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Borgund vidaregåande skole","Service og samferdsel","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Borgund vidaregåande skole","Teknologi- og industrifag","136","126","10","143","130","13","145","131","14","141","127","14","142","123","19","140","122","18","142","124","18","144","128","16","144","121","23","145","118","27","174","138","36","167","136","31","163","141","22","152","130","22"
