"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter"
15,"Fannefjord videregående skole","Alle utdanningsprogram","50","17","33","50","16","34","53","14","39","80","28","52","86","30","56","76","24","52","61","14","47","53","17","36","71","25","46","65","26","39"
15,"Fannefjord videregående skole","Studieforberedende","30","10","20","30","10","20","33","9","24","57","23","34","66","23","43","57","20","37","43","12","31","37","11","26","60","23","37","46","19","27"
15,"Fannefjord videregående skole","Påbygging til generell studiekompetanse","23","8","15","14","5","9","20","6","14","31","7","24","33","5","28","28","6","22","33","9","24","19","4","15","29","6","23","27","8","19"
15,"Fannefjord videregående skole","Studiespesialisering","7","2","5","16","5","11","13","3","10","26","16","10","33","18","15","29","14","15","10","3","7","18","7","11","31","17","14","19","11","8"
15,"Fannefjord videregående skole","Yrkesfaglig","20","7","13","20","6","14","20","5","15","23","5","18","20","7","13","19","4","15","18","2","16","16","6","10","11","2","9","19","7","12"
15,"Fannefjord videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Fannefjord videregående skole","Helse- og oppvekstfag","19","6","13","18","6","12","20","5","15","21","4","17","19","6","13","19","4","15","17","2","15","16","6","10","11","2","9","18","6","12"
15,"Fannefjord videregående skole","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Fannefjord videregående skole","Naturbruk",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Fannefjord videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Fannefjord videregående skole","Service og samferdsel","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Fannefjord videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA
