"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Hustadvika vidaregåande skole","Alle utdanningsprogram","390","194","196","391","190","201","374","187","187","375","184","191","369","196","173","365","199","166","322","169","153","347","197","150","323","176","147","341","175","166","346","175","171","338","167","171","298","160","138","278","150","128"
15,"Hustadvika vidaregåande skole","Studieforberedende","182","63","119","181","59","122","165","52","113","161","49","112","152","52","100","146","56","90","125","45","80","133","51","82","128","55","73","148","66","82","130","55","75","107","36","71","77","30","47","50","23","27"
15,"Hustadvika vidaregåande skole","Påbygging til generell studiekompetanse","29","10","19","30","14","16","28","8","20","27","7","20","29","7","22","24","8","16","25","6","19","26","11","15","21","4","17","28","10","18","29","12","17","23","5","18","33","11","22","50","23","27"
15,"Hustadvika vidaregåande skole","Studiespesialisering","152","52","100","151","45","106","137","44","93","134","42","92","123","45","78","122","48","74","100","39","61","107","40","67","107","51","56","120","56","64","101","43","58","84","31","53","44","19","25",NA,NA,NA
15,"Hustadvika vidaregåande skole","Studiespesialisering med formgivning","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Hustadvika vidaregåande skole","Yrkesfaglig","208","131","77","210","131","79","209","135","74","214","135","79","217","144","73","219","143","76","197","124","73","214","146","68","195","121","74","193","109","84","216","120","96","231","131","100","221","130","91","228","127","101"
15,"Hustadvika vidaregåande skole","Bygg- og anleggsteknikk","31","30","1","28","27","1","25","25",NA,"23","21","2","25","24","1","28","24","4","9","7","2","9","6","3","5","3","2",NA,NA,NA,"4","3","1","4","3","1",NA,NA,NA,NA,NA,NA
15,"Hustadvika vidaregåande skole","Helse- og oppvekstfag","62","13","49","50","4","46","46","6","40","62","12","50","56","6","50","57","10","47","52","5","47","53","7","46","61","10","51","63","6","57","65","7","58","66","7","59","61","8","53","67","6","61"
15,"Hustadvika vidaregåande skole","Naturbruk","26","26",NA,"40","39","1","36","35","1","35","34","1","42","41","1","41","36","5","44","38","6","49","46","3","45","43","2","42","32","10","42","32","10","48","41","7","48","41","7","48","35","13"
15,"Hustadvika vidaregåande skole","Restaurant- og matfag","24","13","11","21","8","13","22","7","15","25","13","12","22","14","8","21","12","9","26","15","11","28","18","10","20","14","6","21","15","6","35","19","16","31","15","16","27","15","12","30","15","15"
15,"Hustadvika vidaregåande skole","Teknologi- og industrifag","65","49","16","71","53","18","80","62","18","69","55","14","72","59","13","72","61","11","66","59","7","75","69","6","64","51","13","67","56","11","70","59","11","82","65","17","85","66","19","83","71","12"
