"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Kristiansund videregående skole","Alle utdanningsprogram","834","462","372","806","439","367","771","410","361","791","437","354","817","460","357","777","464","313","767","481","286","745","474","271","755","431","324","684","392","292","673","385","288","681","356","325","763","419","344","798","440","358"
15,"Kristiansund videregående skole","Studieforberedende","123","40","83","101","29","72","119","34","85","109","33","76","153","57","96","172","65","107","171","70","101","144","61","83","143","47","96","134","41","93","115","38","77","102","26","76","124","33","91","139","36","103"
15,"Kristiansund videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","1","13","22","6","16","19","4","15","22","3","19","26","5","21","29","2","27","28","3","25","34","4","30","42","6","36","58","11","47"
15,"Kristiansund videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19","23","45","22","23","70","36","34","46","23","23","51","19","32","26","8","18","18","4","14","7","1","6","2",NA,"2",NA,NA,NA
15,"Kristiansund videregående skole","Påbygging til generell studiekompetanse","71","25","46","62","18","44","71","21","50","75","28","47","76","32","44","83","32","51","82","30","52","76","35","41","66","23","43","79","31","48","69","31","38","61","21","40","80","27","53","81","25","56"
15,"Kristiansund videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","24","11","13","18","8","10","24","8","16","26","4","22","18","5","13","22","5","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kristiansund videregående skole","Studiespesialisering med formgivning","28","4","24","21","3","18","24","5","19","8","1","7","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kristiansund videregående skole","Yrkesfaglig","711","422","289","705","410","295","652","376","276","682","404","278","664","403","261","605","399","206","596","411","185","601","413","188","612","384","228","550","351","199","558","347","211","579","330","249","639","386","253","659","404","255"
15,"Kristiansund videregående skole","Bygg- og anleggsteknikk","58","56","2","59","54","5","43","43",NA,"43","41","2","63","59","4","54","49","5","57","55","2","55","51","4","49","42","7","44","38","6","45","39","6","59","50","9","53","45","8","49","39","10"
15,"Kristiansund videregående skole","Design og håndverk","58","3","55","55","5","50","39","2","37","42",NA,"42","38","2","36","26",NA,"26","26",NA,"26","22","4","18","9",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kristiansund videregående skole","Elektro og datateknologi","130","120","10","139","134","5","133","117","16","128","115","13","115","109","6","115","110","5","103","99","4","103","98","5","103","96","7","99","92","7","81","70","11","88","75","13","103","89","14","122","106","16"
15,"Kristiansund videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","2","13","18","1","17","18",NA,"18","19","1","18","24","1","23","24","3","21"
15,"Kristiansund videregående skole","Helse- og oppvekstfag","110","11","99","119","6","113","117","7","110","111","14","97","126","15","111","130","26","104","138","31","107","126","31","95","147","24","123","137","27","110","134","28","106","135","19","116","135","18","117","140","22","118"
15,"Kristiansund videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","14","3","24","22","2","24","22","2","26","24","2","29","28","1","30","27","3"
15,"Kristiansund videregående skole","Medier og kommunikasjon (gammel ordning)","55","22","33","52","13","39","52","14","38","52","13","39","26","5","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kristiansund videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"16","12","4","28","22","6","25","22","3","28","20","8","27","12","15","28","18","10","28","16","12"
15,"Kristiansund videregående skole","Restaurant- og matfag","46","22","24","46","20","26","51","25","26","49","21","28","62","29","33","50","22","28","41","20","21","53","24","29","52","14","38","40","15","25","52","29","23","41","20","21","46","22","24","54","32","22"
15,"Kristiansund videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","16","6","23","12","11","25","12","13","25","6","19","28","7","21","26","11","15"
15,"Kristiansund videregående skole","Service og samferdsel","76","46","30","67","43","24","53","35","18","83","54","29","76","50","26","81","55","26","71","57","14","68","48","20","24","21","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kristiansund videregående skole","Teknologi- og industrifag","178","142","36","168","135","33","164","133","31","174","146","28","158","134","24","149","137","12","159","148","11","158","145","13","146","133","13","140","122","18","151","127","24","159","123","36","193","158","35","186","148","38"
