"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Molde videregående skole","Alle utdanningsprogram","743","289","454","775","287","488","764","264","500","751","274","477","786","295","491","749","311","438","756","298","458","700","287","413","665","262","403","655","262","393","683","250","433","698","257","441","713","275","438","734","286","448"
15,"Molde videregående skole","Studieforberedende","670","266","404","689","259","430","687","234","453","678","238","440","743","270","473","749","311","438","756","298","458","700","287","413","665","262","403","655","262","393","655","242","413","655","246","409","653","257","396","674","263","411"
15,"Molde videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","3","20","29","4","25","52","10","42","40","6","34","40","9","31","41","5","36","49","3","46","59","4","55","64","9","55","67","14","53"
15,"Molde videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","24","28","89","50","39","98","52","46","87","46","41","46","23","23","34","20","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Molde videregående skole","Musikk, dans og drama","64","28","36","68","25","43","73","28","45","70","28","42","69","30","39","64","32","32","66","29","37","75","31","44","71","28","43","70","30","40","65","31","34","64","27","37","64","28","36","70","29","41"
15,"Molde videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","9","27","42","19","23","36","18","18","46","17","29"
15,"Molde videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","29","10","19","23","10","13","30","9","21","28","10","18","28","9","19","25","15","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Molde videregående skole","Studiespesialisering","544","224","320","566","221","345","546","194","352","542","195","347","547","203","344","530","209","321","540","207","333","498","204","294","508","202","306","510","207","303","505","199","306","490","196","294","489","202","287","491","203","288"
15,"Molde videregående skole","Studiespesialisering med formgivning","33","4","29","32","3","29","38","3","35","38","5","33","24","1","23","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Molde videregående skole","Yrkesfaglig","73","23","50","86","28","58","77","30","47","73","36","37","43","25","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","8","20","43","11","32","60","18","42","60","23","37"
15,"Molde videregående skole","Medier og kommunikasjon (gammel ordning)","73","23","50","86","28","58","77","30","47","73","36","37","43","25","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Molde videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","8","20","43","11","32","60","18","42","60","23","37"
