"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Rauma videregående skole","Alle utdanningsprogram","187","86","101","189","100","89","168","84","84","181","87","94","162","81","81","168","82","86","159","69","90","182","89","93","185","111","74","160","85","75","148","77","71","153","77","76","172","94","78","182","94","88"
15,"Rauma videregående skole","Studieforberedende","93","33","60","90","39","51","82","29","53","92","31","61","74","26","48","81","32","49","87","33","54","96","35","61","99","45","54","84","33","51","81","31","50","80","29","51","82","31","51","95","39","56"
15,"Rauma videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2","3","12","2","10","18","7","11","22","6","16","20","8","12"
15,"Rauma videregående skole","Påbygging til generell studiekompetanse","21","4","17","19","8","11","15","1","14","16","4","12","17","10","7","15","9","6","17","5","12","14",NA,"14","18","7","11","8","3","5","2","2",NA,NA,NA,NA,NA,NA,NA,"3","3",NA
15,"Rauma videregående skole","Studiespesialisering","72","29","43","71","31","40","67","28","39","76","27","49","57","16","41","66","23","43","70","28","42","82","35","47","81","38","43","71","28","43","67","27","40","62","22","40","60","25","35","72","28","44"
15,"Rauma videregående skole","Yrkesfaglig","94","53","41","99","61","38","86","55","31","89","56","33","88","55","33","87","50","37","72","36","36","86","54","32","86","66","20","76","52","24","67","46","21","73","48","25","90","63","27","87","55","32"
15,"Rauma videregående skole","Elektro og datateknologi","17","16","1","24","24",NA,"26","25","1","24","24",NA,"26","26",NA,"31","31",NA,"22","19","3","29","26","3","28","26","2","18","18",NA,"24","23","1","23","22","1","35","32","3","25","24","1"
15,"Rauma videregående skole","Helse- og oppvekstfag","27","1","26","24","1","23","22","2","20","23","1","22","30","5","25","35","7","28","26","1","25","28","4","24","14","4","10","15",NA,"15","18","3","15","15","2","13","16","7","9","23","5","18"
15,"Rauma videregående skole","Restaurant- og matfag","26","15","11","32","20","12","26","18","8","24","16","8","19","12","7","21","12","9","10","2","8","16","11","5","22","15","7","19","13","6","11","7","4","21","12","9","24","14","10","22","13","9"
15,"Rauma videregående skole","Service og samferdsel","7","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Rauma videregående skole","Teknologi- og industrifag","17","17",NA,"19","16","3","12","10","2","18","15","3","13","12","1",NA,NA,NA,"14","14",NA,"13","13",NA,"22","21","1","24","21","3","14","13","1","14","12","2","15","10","5","17","13","4"
