"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Romsdal videregående skole","Alle utdanningsprogram","813","504","309","766","474","292","728","433","295","707","448","259","745","472","273","774","454","320","789","441","348","851","502","349","902","517","385","904","482","422","886","481","405","882","487","395","877","460","417","926","481","445"
15,"Romsdal videregående skole","Studieforberedende","233","126","107","217","128","89","227","117","110","212","119","93","246","140","106","234","122","112","255","122","133","270","136","134","251","117","134","264","115","149","277","126","151","287","143","144","268","117","151","280","114","166"
15,"Romsdal videregående skole","Idrettsfag","156","91","65","146","98","48","148","88","60","150","91","59","156","93","63","159","84","75","160","79","81","162","79","83","161","84","77","160","89","71","188","104","84","182","101","81","180","90","90","160","75","85"
15,"Romsdal videregående skole","Påbygging til generell studiekompetanse","77","35","42","71","30","41","79","29","50","62","28","34","90","47","43","75","38","37","95","43","52","108","57","51","90","33","57","104","26","78","74","12","62","85","30","55","71","20","51","104","33","71"
15,"Romsdal videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","10","5","20","12","8","17","7","10","16","6","10"
15,"Romsdal videregående skole","Yrkesfaglig","580","378","202","549","346","203","501","316","185","495","329","166","499","332","167","540","332","208","534","319","215","581","366","215","651","400","251","640","367","273","609","355","254","595","344","251","609","343","266","646","367","279"
15,"Romsdal videregående skole","Bygg- og anleggsteknikk","81","79","2","78","76","2","60","58","2","56","54","2","60","56","4","61","57","4","74","70","4","86","83","3","97","94","3","96","86","10","93","83","10","83","74","9","91","70","21","91","79","12"
15,"Romsdal videregående skole","Design og håndverk","83","8","75","61","7","54","50","5","45","47","1","46","48","2","46","64","5","59","53","5","48","51","7","44","16",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Romsdal videregående skole","Elektro og datateknologi","108","100","8","105","93","12","108","95","13","118","104","14","109","102","7","108","102","6","95","87","8","118","108","10","127","118","9","115","100","15","103","91","12","102","92","10","117","102","15","121","104","17"
15,"Romsdal videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","5","30","53","8","45","50","10","40","42","6","36","45","2","43","47","4","43"
15,"Romsdal videregående skole","Helse- og oppvekstfag","77","16","61","71","13","58","74","16","58","73","18","55","81","27","54","86","16","70","96","13","83","96","11","85","112","6","106","115","8","107","132","11","121","139","14","125","138","13","125","146","11","135"
15,"Romsdal videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","16",NA,"25","21","4","26","22","4","30","25","5","32","28","4","35","32","3"
15,"Romsdal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","11","44","100","32","68","69","32","37","62","29","33","56","26","30","69","29","40"
15,"Romsdal videregående skole","Service og samferdsel","109","58","51","112","47","65","85","34","51","78","41","37","87","47","40","116","56","60","120","56","64","110","47","63","57","27","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Romsdal videregående skole","Teknologi- og industrifag","122","117","5","122","110","12","124","108","16","123","111","12","114","98","16","105","96","9","96","88","8","120","110","10","136","123","13","136","112","24","136","106","30","137","104","33","130","102","28","137","108","29"
