"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Stranda vidaregåande skule","Alle utdanningsprogram","178","97","81","181","99","82","156","88","68","163","81","82","174","78","96","205","93","112","175","74","101","185","74","111","145","59","86","120","51","69","123","52","71","132","61","71","126","53","73","118","60","58"
15,"Stranda vidaregåande skule","Studieforberedende","146","79","67","139","76","63","128","68","60","137","69","68","145","64","81","177","78","99","155","64","91","155","65","90","126","54","72","108","47","61","93","35","58","92","32","60","87","30","57","77","36","41"
15,"Stranda vidaregåande skule","Idrettsfag","65","46","19","54","38","16","51","37","14","51","29","22","65","32","33","110","51","59","116","52","64","114","53","61","88","41","47","76","37","39","57","21","36","59","24","35","45","17","28","44","22","22"
15,"Stranda vidaregåande skule","Påbygging til generell studiekompetanse","1",NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Stranda vidaregåande skule","Studiespesialisering","80","33","47","84","38","46","76","31","45","85","40","45","80","32","48","67","27","40","39","12","27","41","12","29","38","13","25","32","10","22","36","14","22","33","8","25","42","13","29","33","14","19"
15,"Stranda vidaregåande skule","Yrkesfaglig","32","18","14","42","23","19","28","20","8","26","12","14","29","14","15","28","15","13","20","10","10","30","9","21","19","5","14","12","4","8","30","17","13","40","29","11","39","23","16","41","24","17"
15,"Stranda vidaregåande skule","Helse- og oppvekstfag","9",NA,"9","16","1","15","2",NA,"2","5",NA,"5","8",NA,"8","10","2","8","11","4","7","23","4","19","14","1","13","7",NA,"7","8","1","7","5",NA,"5","14","1","13","17","2","15"
15,"Stranda vidaregåande skule","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","13","1","28","27","1","25","22","3","24","22","2"
15,"Stranda vidaregåande skule","Restaurant- og matfag","16","11","5","19","15","4","18","12","6","16","7","9","11","4","7","9","5","4","9","6","3","7","5","2","5","4","1","5","4","1","8","3","5","7","2","5",NA,NA,NA,NA,NA,NA
15,"Stranda vidaregåande skule","Teknologi- og industrifag","7","7",NA,"7","7",NA,"8","8",NA,"5","5",NA,"10","10",NA,"9","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
