"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Surnadal vidaregåande skule","Alle utdanningsprogram","295","165","130","330","165","165","289","147","142","299","151","148","283","151","132","295","139","156","265","115","150","245","105","140","222","111","111","225","118","107","201","107","94","191","107","84","202","123","79","199","108","91"
15,"Surnadal vidaregåande skule","Studieforberedende","158","65","93","197","73","124","172","62","110","163","56","107","133","41","92","148","47","101","133","41","92","144","47","97","111","31","80","113","36","77","95","30","65","92","38","54","94","41","53","95","34","61"
15,"Surnadal vidaregåande skule","Påbygging til generell studiekompetanse","19","5","14","23","5","18","14","1","13","24","9","15","14","6","8","24","10","14","21","6","15","27","6","21","18","3","15","18","9","9","12","2","10","5",NA,"5","7","3","4","17","3","14"
15,"Surnadal vidaregåande skule","Studiespesialisering","139","60","79","174","68","106","158","61","97","139","47","92","119","35","84","124","37","87","112","35","77","117","41","76","93","28","65","95","27","68","83","28","55","87","38","49","87","38","49","78","31","47"
15,"Surnadal vidaregåande skule","Yrkesfaglig","137","100","37","133","92","41","117","85","32","136","95","41","150","110","40","147","92","55","132","74","58","101","58","43","111","80","31","112","82","30","106","77","29","99","69","30","108","82","26","104","74","30"
15,"Surnadal vidaregåande skule","Bygg- og anleggsteknikk","23","22","1","12","12",NA,"8","8",NA,"14","13","1","21","20","1","20","20",NA,"11","11",NA,"14","13","1","26","26",NA,"23","22","1","17","14","3","23","19","4","23","23",NA,"21","21",NA
15,"Surnadal vidaregåande skule","Elektro og datateknologi","36","35","1","36","35","1","36","36",NA,"33","32","1","38","37","1","33","29","4","39","36","3","19","17","2","25","25",NA,"32","32",NA,"34","34",NA,"29","28","1","34","33","1","26","24","2"
15,"Surnadal vidaregåande skule","Helse- og oppvekstfag","35","2","33","39","3","36","36","7","29","49","12","37","50","13","37","59","14","45","57","9","48","45","7","38","33","3","30","29","2","27","29","4","25","25","5","20","23","2","21","26",NA,"26"
15,"Surnadal vidaregåande skule","Service og samferdsel","5","4","1","4","4",NA,"4","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Surnadal vidaregåande skule","Teknologi- og industrifag","38","37","1","42","38","4","33","31","2","40","38","2","41","40","1","35","29","6","25","18","7","23","21","2","27","26","1","28","26","2","26","25","1","22","17","5","28","24","4","31","29","2"
