"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Tingvoll vidaregåande skole","Alle utdanningsprogram","114","64","50","114","68","46","110","66","44","103","54","49","107","55","52","102","54","48","120","60","60","107","46","61","106","48","58","77","35","42","91","42","49","78","37","41","80","47","33","63","34","29"
15,"Tingvoll vidaregåande skole","Studieforberedende","75","44","31","78","46","32","82","45","37","74","37","37","86","41","45","74","32","42","88","40","48","88","40","48","83","35","48","60","19","41","57","23","34","45","21","24","43","24","19","44","25","19"
15,"Tingvoll vidaregåande skole","Idrettsfag","34","20","14","30","19","11","40","24","16","37","20","17","40","16","24","41","15","26","47","20","27","50","25","25","45","21","24","28","11","17","30","13","17","26","14","12","31","18","13","20","13","7"
15,"Tingvoll vidaregåande skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","4","4","9","4","5","8","4","4","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Påbygging til generell studiekompetanse","12","6","6","17","10","7","13","7","6",NA,NA,NA,"16","9","7",NA,NA,NA,NA,NA,NA,"2","1","1","2","1","1","4",NA,"4","7","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Studieforberedende Vg3 Medier og kommunikasjon",NA,NA,NA,"3",NA,"3","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Studiespesialisering","29","18","11","28","17","11","28","13","15","37","17","20","22","12","10","24","13","11","33","16","17","34","13","21","36","13","23","28","8","20","20","7","13","19","7","12","12","6","6","24","12","12"
15,"Tingvoll vidaregåande skole","Yrkesfaglig","39","20","19","36","22","14","28","21","7","29","17","12","21","14","7","28","22","6","32","20","12","19","6","13","23","13","10","17","16","1","34","19","15","33","16","17","37","23","14","19","9","10"
15,"Tingvoll vidaregåande skole","Bygg- og anleggsteknikk","5","5",NA,"9","8","1","7","6","1","6","6",NA,"7","7",NA,"6","6",NA,"8","8",NA,"2","2",NA,"8","8",NA,"17","16","1","14","11","3","4","3","1","4","4",NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Elektro og datateknologi",NA,NA,NA,"8","7","1","12","11","1","5","5",NA,"5","5",NA,"13","12","1","6","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Helse- og oppvekstfag","7","2","5","8","3","5",NA,NA,NA,"10","3","7","9","2","7","9","4","5","18","7","11","17","4","13","15","5","10",NA,NA,NA,"9",NA,"9","15","3","12","17","6","11","12","4","8"
15,"Tingvoll vidaregåande skole","Medier og kommunikasjon (gammel ordning)","27","13","14","11","4","7","9","4","5","8","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Tingvoll vidaregåande skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","8","3","14","10","4","16","13","3","7","5","2"
