"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Ulstein vidaregåande skule","Alle utdanningsprogram","541","271","270","533","268","265","562","280","282","489","248","241","512","272","240","539","283","256","542","268","274","524","279","245","522","282","240","542","287","255","523","272","251","528","275","253","544","273","271","553","285","268"
15,"Ulstein vidaregåande skule","Studieforberedende","438","186","252","434","186","248","450","199","251","391","178","213","423","195","228","431","190","241","451","193","258","426","192","234","423","197","226","442","211","231","420","196","224","425","197","228","418","189","229","421","195","226"
15,"Ulstein vidaregåande skule","Idrettsfag","137","82","55","137","87","50","130","83","47","141","83","58","143","81","62","155","82","73","160","84","76","165","84","81","166","79","87","166","77","89","166","91","75","167","92","75","164","95","69","162","93","69"
15,"Ulstein vidaregåande skule","Påbygging til generell studiekompetanse","27","7","20","28","8","20","27","8","19","1","1",NA,"26","19","7","27","18","9","51","31","20","28","14","14","28","20","8","29","16","13","27","14","13","28","11","17","25","7","18","30","12","18"
15,"Ulstein vidaregåande skule","Studiespesialisering","274","97","177","269","91","178","293","108","185","249","94","155","254","95","159","249","90","159","240","78","162","233","94","139","229","98","131","247","118","129","227","91","136","230","94","136","229","87","142","229","90","139"
15,"Ulstein vidaregåande skule","Yrkesfaglig","103","85","18","99","82","17","112","81","31","98","70","28","89","77","12","108","93","15","91","75","16","98","87","11","99","85","14","100","76","24","103","76","27","103","78","25","126","84","42","132","90","42"
15,"Ulstein vidaregåande skule","Elektro og datateknologi","42","40","2","42","41","1","42","40","2","41","36","5","41","38","3","56","51","5","40","35","5","41","40","1","42","34","8","50","41","9","56","48","8","55","50","5","57","51","6","55","52","3"
15,"Ulstein vidaregåande skule","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","14",NA,"24","22","2","25","21","4","22","18","4","26","22","4","22","20","2"
15,"Ulstein vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11","4","26","13","13","22","7","15","26","10","16","43","11","32","55","18","37"
15,"Ulstein vidaregåande skule","Service og samferdsel","40","27","13","34","24","10","47","27","20","36","23","13","30","26","4","42","33","9","40","31","9","34","27","7","15","14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Ulstein vidaregåande skule","Teknologi- og industrifag","21","18","3","23","17","6","23","14","9","21","11","10","18","13","5","10","9","1","11","9","2","23","20","3","13","12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
