"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Volda vidaregåande skule","Alle utdanningsprogram","532","235","297","520","194","326","525","216","309","541","225","316","513","217","296","514","201","313","520","198","322","525","190","335","505","181","324","483","175","308","457","157","300","440","152","288","453","160","293","480","177","303"
15,"Volda vidaregåande skule","Studieforberedende","454","200","254","439","161","278","446","176","270","474","187","287","467","193","274","504","197","307","518","196","322","524","189","335","505","181","324","483","175","308","457","157","300","440","152","288","453","160","293","480","177","303"
15,"Volda vidaregåande skule","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","3","12","26","5","21","40","8","32","39","6","33","40","7","33","40","7","33","47","10","37","43","9","34"
15,"Volda vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","12","9","43","20","23","66","30","36","63","26","37","40","18","22","27","13","14","33","13","20","33","14","19","34","12","22","36","17","19"
15,"Volda vidaregåande skule","Musikk, dans og drama","77","31","46","77","26","51","80","27","53","83","26","57","82","18","64","76","20","56","77","21","56","84","22","62","82","22","60","70","22","48","72","28","44","72","26","46","82","29","53","89","35","54"
15,"Volda vidaregåande skule","Påbygging til generell studiekompetanse","56","23","33","41","11","30","51","19","32","78","40","38","68","35","33","61","27","34","55","19","36","42","6","36","37","9","28","45","12","33","42","7","35","50","19","31","58","17","41","56","20","36"
15,"Volda vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","22","10","12","20","8","12","19","6","13","5","3","2","12","6","6","20","13","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Volda vidaregåande skule","Studiespesialisering","299","136","163","301","116","185","296","124","172","308","118","190","284","122","162","304","117","187","305","123","182","309","130","179","306","124","182","302","122","180","270","102","168","245","86","159","232","92","140","256","96","160"
15,"Volda vidaregåande skule","Yrkesfaglig","78","35","43","81","33","48","79","40","39","67","38","29","46","24","22","10","4","6","2","2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Volda vidaregåande skule","Medier og kommunikasjon (gammel ordning)","54","21","33","52","20","32","54","26","28","50","28","22","25","15","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Volda vidaregåande skule","Service og samferdsel","24","14","10","29","13","16","25","14","11","17","10","7","21","9","12","10","4","6","2","2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
