"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Alle utdanningsprogram","761","438","323","801","449","352","803","455","348","765","444","321","745","442","303","691","398","293","698","419","279","685","412","273","577","331","246","465","277","188","1420","607","813","1360","574","786"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Studieforberedende","418","204","214","454","209","245","457","211","246","443","203","240","471","229","242","461","209","252","464","216","248","436","205","231","416","214","202","303","159","144","1046","407","639","1008","381","627"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Idrettsfag","148","84","64","141","82","59","146","94","52","146","87","59","148","84","64","146","84","62","147","83","64","141","81","60","150","88","62","145","91","54","143","86","57","164","92","72"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","12","54","65","7","58"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","18","10","52","24","28","65","36","29","63","29","34","34","20","14","23","12","11",NA,NA,NA,NA,NA,NA
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Musikk, dans og drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149","32","117","138","38","100"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Påbygging til generell studiekompetanse","44","27","17","51","26","25","46","18","28","49","30","19","39","20","19","38","18","20","32","15","17","21","9","12","28","19","9","30","18","12","96","36","60","72","15","57"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Studieforberedende Vg3 Medier og kommunikasjon","17","8","9","16","7","9","22","10","12","20","9","11","27","17","10","14","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Studiespesialisering","209","85","124","246","94","152","243","89","154","228","77","151","229","90","139","211","75","136","220","82","138","211","86","125","204","87","117","105","38","67","592","241","351","569","229","340"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Yrkesfaglig","343","234","109","347","240","107","346","244","102","322","241","81","274","213","61","230","189","41","234","203","31","249","207","42","161","117","44","162","118","44","374","200","174","352","193","159"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138","11","127","116","11","105"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","27","25","2","24","19","5","26","18","8"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Medier og kommunikasjon (gammel ordning)","108","49","59","98","51","47","88","43","45","59","29","30","28","9","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Naturbruk","29","29",NA,"33","31","2","43","41","2","41","39","2","44","42","2","51","47","4","53","47","6","52","48","4","52","45","7","58","46","12","51","42","9","54","40","14"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","15","13","57","31","26","41","19","22","36","11","25"
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Service og samferdsel","111","68","43","101","50","51","104","58","46","118","73","45","117","81","36","111","79","32","95","71","24","103","69","34","66","44","22",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Ålesund videregående skole Lokalitet Volsdalsberga","Teknologi- og industrifag","95","88","7","115","108","7","111","102","9","104","100","4","85","81","4","68","63","5","86","85","1","94","90","4",NA,NA,NA,"20","16","4","120","109","11","120","113","7"
