"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
15,"Ålesund videregående skole","Alle utdanningsprogram","761","256","505","751","247","504","768","269","499","757","267","490","831","304","527","841","281","560","859","280","579","843","265","578","940","360","580","1020","389","631","1194","506","688","1213","542","671"
15,"Ålesund videregående skole","Studieforberedende","667","242","425","659","229","430","673","252","421","658","253","405","724","289","435","733","266","467","750","265","485","726","250","476","710","245","465","760","262","498","796","292","504","737","280","457"
15,"Ålesund videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","1","13","41","8","33","49","6","43","50","11","39","49","11","38","58","17","41","66","7","59","59","12","47"
15,"Ålesund videregående skole","Musikk, dans og drama","153","37","116","147","26","121","127","22","105","126","28","98","132","34","98","143","36","107","147","37","110","138","36","102","138","33","105","147","36","111","135","42","93","141","49","92"
15,"Ålesund videregående skole","Påbygging til generell studiekompetanse","79","33","46","70","30","40","78","32","46","70","19","51","78","32","46","71","30","41","93","45","48","70","29","41","78","26","52","45","12","33","72","19","53","97","26","71"
15,"Ålesund videregående skole","Studiespesialisering","388","162","226","400","164","236","428","192","236","428","204","224","477","219","258","465","191","274","461","177","284","468","174","294","445","175","270","510","197","313","523","224","299","440","193","247"
15,"Ålesund videregående skole","Studiespesialisering med formgivning","47","10","37","42","9","33","40","6","34","34","2","32","23","3","20","13","1","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Ålesund videregående skole","Yrkesfaglig","94","14","80","92","18","74","95","17","78","99","14","85","107","15","92","108","15","93","109","15","94","117","15","102","230","115","115","260","127","133","398","214","184","476","262","214"
15,"Ålesund videregående skole","Helse- og oppvekstfag","94","14","80","92","18","74","95","17","78","99","14","85","107","15","92","108","15","93","109","15","94","117","15","102","127","16","111","145","20","125","133","24","109","149","21","128"
15,"Ålesund videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","18","10","33","27","6"
15,"Ålesund videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","29","25","71","46","25"
15,"Ålesund videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","19","29","57","19","38"
15,"Ålesund videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","99","4","115","107","8","135","124","11","166","149","17"
