"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Andøy videregående skole","Alle utdanningsprogram","162","102","60","156","88","68","136","90","46","137","88","49","129","78","51","126","79","47","132","88","44","117","72","45","116","78","38","95","60","35","113","84","29","120","82","38","101","69","32","92","57","35"
18,"Andøy videregående skole","Studieforberedende","82","39","43","77","31","46","63","24","39","60","26","34","59","22","37","62","25","37","54","25","29","61","27","34","56","28","28","51","26","25","42","24","18","46","20","26","48","20","28","53","22","31"
18,"Andøy videregående skole","Påbygging til generell studiekompetanse","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,"1",NA,"1",NA,NA,NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Andøy videregående skole","Studiespesialisering","79","38","41","77","31","46","63","24","39","60","26","34","58","22","36","61","25","36","53","24","29","60","27","33","56","28","28","49","25","24","42","24","18","46","20","26","48","20","28","53","22","31"
18,"Andøy videregående skole","Yrkesfaglig","80","63","17","79","57","22","73","66","7","77","62","15","70","56","14","64","54","10","78","63","15","56","45","11","60","50","10","44","34","10","71","60","11","74","62","12","53","49","4","39","35","4"
18,"Andøy videregående skole","Design og håndverk","3","1","2","6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Andøy videregående skole","Elektro og datateknologi","51","49","2","43","41","2","49","47","2","50","47","3","43","39","4","41","39","2","53","50","3","43","40","3","48","47","1","32","30","2","61","54","7","59","55","4","48","48",NA,"39","35","4"
18,"Andøy videregående skole","Helse- og oppvekstfag","11","1","10","14","1","13","7","2","5","11","1","10","10","1","9","10","4","6","13","2","11","13","5","8","12","3","9","12","4","8","10","6","4","15","7","8","5","1","4",NA,NA,NA
18,"Andøy videregående skole","Naturbruk","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Andøy videregående skole","Teknologi- og industrifag","14","11","3","16","15","1","17","17",NA,"16","14","2","17","16","1","13","11","2","12","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
