"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Aust-Lofoten videregående skole","Alle utdanningsprogram","313","136","177","326","146","180","342","151","191","371","168","203","384","183","201","335","159","176","357","167","190","342","176","166","330","148","182","288","129","159","279","120","159","278","127","151","258","111","147","245","116","129"
18,"Aust-Lofoten videregående skole","Studieforberedende","167","76","91","170","75","95","180","76","104","191","85","106","222","100","122","207","90","117","200","85","115","179","86","93","184","75","109","177","74","103","175","70","105","169","68","101","170","68","102","149","62","87"
18,"Aust-Lofoten videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","13","12","19","8","11","15","8","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Påbygging til generell studiekompetanse","27","9","18","27","8","19","27","10","17","28","13","15","38","16","22","53","23","30","27","7","20","25","14","11","21","8","13","27","11","16","27","12","15","20","7","13","22","9","13","10","3","7"
18,"Aust-Lofoten videregående skole","Studieforberedende Vg3 Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","9","7","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Studiespesialisering","140","67","73","143","67","76","153","66","87","163","72","91","143","62","81","134","59","75","158","70","88","154","72","82","163","67","96","150","63","87","148","58","90","149","61","88","148","59","89","139","59","80"
18,"Aust-Lofoten videregående skole","Yrkesfaglig","146","60","86","156","71","85","162","75","87","180","83","97","162","83","79","128","69","59","157","82","75","163","90","73","146","73","73","111","55","56","104","50","54","109","59","50","88","43","45","96","54","42"
18,"Aust-Lofoten videregående skole","Bygg- og anleggsteknikk","2","2",NA,"3","3",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"10","9","1","9","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Design og håndverk","13",NA,"13","12",NA,"12","6",NA,"6","17","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Helse- og oppvekstfag","63","10","53","64","16","48","60","12","48","67","9","58","75","19","56","54","13","41","66","12","54","61","14","47","64","10","54","57","10","47","52","9","43","47","9","38","40","7","33","37","8","29"
18,"Aust-Lofoten videregående skole","Medier og kommunikasjon (gammel ordning)","23","9","14","23","11","12","25","14","11","32","21","11","16","11","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","12","7","17","10","7","11","6","5","22","13","9","14","7","7","16","6","10"
18,"Aust-Lofoten videregående skole","Service og samferdsel","5","2","3","12","4","8","28","11","17","27","17","10","33","20","13","30","20","10","33","20","13","30","12","18","15","6","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Aust-Lofoten videregående skole","Teknologi- og industrifag","40","37","3","42","37","5","42","37","5","36","33","3","38","33","5","44","36","8","48","41","7","63","56","7","48","45","3","37","35","2","41","35","6","40","37","3","34","29","5","43","40","3"
