"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Bodin videregående skole","Alle utdanningsprogram","975","497","478","943","452","491","988","497","491","910","475","435","903","490","413","871","456","415","890","473","417","869","459","410","836","436","400","802","413","389","784","396","388","766","390","376","822","438","384","879","477","402"
18,"Bodin videregående skole","Studieforberedende","591","279","312","587","239","348","644","276","368","596","261","335","621","293","328","633","310","323","661","318","343","661","312","349","646","286","360","575","244","331","584","244","340","582","245","337","604","260","344","599","260","339"
18,"Bodin videregående skole","Idrettsfag","149","102","47","158","90","68","169","103","66","157","93","64","156","101","55","160","94","66","168","94","74","164","88","76","159","81","78","155","89","66","157","88","69","161","93","68","163","85","78","166","84","82"
18,"Bodin videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","4","18","34","8","26","47","6","41","44","4","40","61","7","54","68","9","59","68","7","61","70","9","61","77","11","66","78","16","62"
18,"Bodin videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","11","15","49","19","30","71","36","35","68","36","32","43","24","19","31","18","13","34","17","17","38","20","18","23","10","13","16","8","8"
18,"Bodin videregående skole","Påbygging til generell studiekompetanse","31","12","19","39","12","27","40","10","30","35","16","19","43","20","23","63","35","28","49","26","23","50","26","24","48","21","27","31","17","14","36","16","20","26","13","13","27","13","14","24","14","10"
18,"Bodin videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","16","4","12","5","1","4","7","2","5","7","4","3","8","4","4","15","9","6","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Studiespesialisering","352","153","199","337","127","210","376","157","219","365","147","218","348","152","196","312","145","167","324","155","169","335","158","177","335","153","182","290","111","179","289","116","173","287","110","177","314","141","173","315","138","177"
18,"Bodin videregående skole","Studiespesialisering med formgivning","43","8","35","48","9","39","52","4","48","32","1","31","18","1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Yrkesfaglig","384","218","166","356","213","143","344","221","123","314","214","100","282","197","85","238","146","92","229","155","74","208","147","61","190","150","40","227","169","58","200","152","48","184","145","39","218","178","40","280","217","63"
18,"Bodin videregående skole","Bygg- og anleggsteknikk","1","1",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Design og håndverk","69","10","59","43","1","42","34","4","30","32","4","28","35","4","31","42","3","39","29","8","21","24","2","22","9",NA,"9","8",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Elektro og datateknologi","87","82","5","81","75","6","83","79","4","87","83","4","86","83","3","70","63","7","70","66","4","71","69","2","65","61","4","73","71","2","64","63","1","56","51","5","77","72","5","90","84","6"
18,"Bodin videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"17","30",NA,"30","34","2","32","27","1","26","33","2","31","45",NA,"45"
18,"Bodin videregående skole","Helse- og oppvekstfag","65","13","52","62","14","48","60","17","43","49","16","33","49","15","34","47","7","40","45","5","40","41","11","30",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","21","7","41","30","11","30","24","6","35","33","2","35","34","1","42","39","3"
18,"Bodin videregående skole","Medier og kommunikasjon (gammel ordning)","56","11","45","61","20","41","56","21","35","54","24","30","24","10","14","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Service og samferdsel","14","12","2","15","15",NA,"16","13","3","15","12","3","16","15","1","15","15",NA,"15","12","3","15","15",NA,"15","13","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodin videregående skole","Teknologi- og industrifag","92","89","3","92","86","6","95","87","8","77","75","2","72","70","2","62","58","4","70","64","6","57","50","7","56","55","1","74","68","6","72","63","9","66","60","6","73","70","3","103","94","9"
