"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Bodø videregående skole","Alle utdanningsprogram","1330","668","662","1418","720","698","1325","677","648","1374","688","686","1376","663","713","1372","669","703","1297","635","662","1301","667","634","1254","610","644","1223","574","649","1139","506","633","1170","545","625","1199","570","629","1307","612","695"
18,"Bodø videregående skole","Studieforberedende","633","256","377","696","286","410","675","294","381","712","304","408","699","277","422","708","271","437","681","279","402","662","269","393","593","225","368","605","232","373","543","181","362","559","194","365","556","204","352","591","224","367"
18,"Bodø videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodø videregående skole","Musikk, dans og drama","115","36","79","116","38","78","109","39","70","112","35","77","118","46","72","116","37","79","108","37","71","121","31","90","111","33","78","102","31","71","75","22","53","84","17","67","91","20","71","98","26","72"
18,"Bodø videregående skole","Påbygging til generell studiekompetanse","85","20","65","97","24","73","99","33","66","105","33","72","93","36","57","140","59","81","125","67","58","112","48","64","97","37","60","113","42","71","92","20","72","84","24","60","79","20","59","104","30","74"
18,"Bodø videregående skole","Studiespesialisering","433","200","233","483","224","259","467","222","245","495","236","259","488","195","293","452","175","277","447","175","272","429","190","239","385","155","230","390","159","231","376","139","237","391","153","238","386","164","222","389","168","221"
18,"Bodø videregående skole","Yrkesfaglig","697","412","285","722","434","288","650","383","267","662","384","278","677","386","291","664","398","266","616","356","260","639","398","241","661","385","276","618","342","276","596","325","271","611","351","260","643","366","277","716","388","328"
18,"Bodø videregående skole","Bygg- og anleggsteknikk","75","72","3","92","92",NA,"81","78","3","85","83","2","77","75","2","87","84","3","72","69","3","77","73","4","82","77","5","82","72","10","79","70","9","87","81","6","90","83","7","101","92","9"
18,"Bodø videregående skole","Design og håndverk","56","2","54","53","4","49","36","1","35","45","2","43","51","2","49","40","1","39","51","1","50","30","4","26","15","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodø videregående skole","Elektro og datateknologi","144","127","17","150","138","12","147","135","12","142","133","9","142","126","16","142","126","16","118","104","14","126","111","15","136","124","12","135","121","14","139","123","16","146","132","14","146","133","13","143","132","11"
18,"Bodø videregående skole","Helse- og oppvekstfag","156","21","135","173","25","148","160","24","136","176","28","148","173","35","138","177","31","146","184","37","147","197","48","149","230","45","185","223","37","186","195","22","173","190","15","175","191","15","176","221","15","206"
18,"Bodø videregående skole","Restaurant- og matfag","59","31","28","56","28","28","52","25","27","46","25","21","54","24","30","43","24","19","31","20","11","40","27","13","49","24","25","40","18","22","46","18","28","43","20","23","58","30","28","66","29","37"
18,"Bodø videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","12","15","51","18","33","48","13","35","41","17","24","50","17","33","71","20","51"
18,"Bodø videregående skole","Service og samferdsel","82","49","33","79","38","41","64","22","42","68","24","44","88","39","49","80","44","36","86","60","26","78","53","25","36","25","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bodø videregående skole","Teknologi- og industrifag","125","110","15","119","109","10","110","98","12","100","89","11","92","85","7","95","88","7","74","65","9","91","82","9","86","76","10","87","76","11","89","79","10","104","86","18","108","88","20","114","100","14"
