"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Brønnøysund videregående skole","Alle utdanningsprogram","465","212","253","411","194","217","426","191","235","423","208","215","420","211","209","406","186","220","367","175","192","353","162","191","303","138","165","271","118","153","252","105","147","259","118","141","264","121","143","273","135","138"
18,"Brønnøysund videregående skole","Studieforberedende","223","83","140","190","76","114","215","76","139","221","81","140","212","94","118","236","98","138","196","85","111","180","66","114","146","54","92","134","44","90","129","46","83","131","48","83","121","42","79","119","49","70"
18,"Brønnøysund videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","6","17","18","6","12","16","5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Påbygging til generell studiekompetanse","58","13","45","31","9","22","51","12","39","59","21","38","50","26","24","50","24","26","33","13","20","30","12","18","25","9","16","30","6","24","30","12","18","30","12","18","27","6","21","17","7","10"
18,"Brønnøysund videregående skole","Studieforberedende Vg3 Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Studiespesialisering","165","70","95","159","67","92","164","64","100","162","60","102","162","68","94","163","68","95","145","66","79","134","49","85","120","45","75","104","38","66","99","34","65","101","36","65","94","36","58","102","42","60"
18,"Brønnøysund videregående skole","Yrkesfaglig","242","129","113","221","118","103","211","115","96","202","127","75","208","117","91","170","88","82","171","90","81","173","96","77","157","84","73","137","74","63","123","59","64","128","70","58","143","79","64","154","86","68"
18,"Brønnøysund videregående skole","Bygg- og anleggsteknikk","21","20","1","15","13","2","17","16","1","27","25","2","17","15","2","25","20","5","28","23","5","14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Design og håndverk","10","1","9","8","1","7","13","3","10","7","2","5","9","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Elektro og datateknologi","16","12","4","16","16",NA,"16","14","2","16","15","1","15","14","1","15","12","3","10","9","1","15","14","1","8","7","1","10","10",NA,"13","12","1","16","14","2","13","13",NA,"15","15",NA
18,"Brønnøysund videregående skole","Helse- og oppvekstfag","70","10","60","61","3","58","50","5","45","48","6","42","65","5","60","69","12","57","59","9","50","66","9","57","67","10","57","53","11","42","34",NA,"34","37","3","34","45","2","43","49","1","48"
18,"Brønnøysund videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","22","15","7","27","17","10","25","17","8","21","17","4","16","13","3"
18,"Brønnøysund videregående skole","Medier og kommunikasjon (gammel ordning)","28","15","13","30","15","15","26","10","16","26","15","11","13","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Restaurant- og matfag","22","8","14","16","10","6","19","9","10","21","12","9","21","9","12","20","10","10","32","16","16","25","11","14","11","5","6","17","8","9","27","12","15","26","15","11","37","24","13","43","30","13"
18,"Brønnøysund videregående skole","Service og samferdsel","13","6","7","12","2","10","8","3","5",NA,NA,NA,"15","11","4","15","12","3","28","20","8","15","12","3","12","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Brønnøysund videregående skole","Teknologi- og industrifag","62","57","5","63","58","5","62","55","7","57","52","5","53","51","2","26","22","4","14","13","1","38","36","2","44","39","5","35","30","5","22","18","4","24","21","3","27","23","4","31","27","4"
