"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Fauske videregående skole","Alle utdanningsprogram","420","249","171","430","253","177","435","256","179","417","237","180","420","231","189","374","211","163","367","202","165","341","185","156","378","198","180","334","166","168","295","164","131","299","156","143","304","160","144","324","179","145"
18,"Fauske videregående skole","Studieforberedende","185","93","92","191","94","97","206","95","111","195","84","111","192","76","116","143","56","87","158","65","93","133","44","89","163","62","101","150","61","89","112","52","60","110","45","65","127","51","76","140","68","72"
18,"Fauske videregående skole","Idrettsfag","58","34","24","63","36","27","62","33","29","57","28","29","60","31","29","41","22","19","57","26","31","59","20","39","80","31","49","73","34","39","41","24","17","38","23","15","41","24","17","61","41","20"
18,"Fauske videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"1",NA,"1","2",NA,"2",NA,NA,NA,"1",NA,"1","10","6","4","1",NA,"1","2","1","1","2",NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Fauske videregående skole","Studiespesialisering","127","59","68","128","58","70","143","62","81","136","56","80","132","45","87","101","34","67","91","33","58","73","24","49","81","30","51","75","27","48","70","27","43","72","22","50","86","27","59","79","27","52"
18,"Fauske videregående skole","Yrkesfaglig","235","156","79","239","159","80","229","161","68","222","153","69","228","155","73","231","155","76","209","137","72","208","141","67","215","136","79","184","105","79","183","112","71","189","111","78","177","109","68","184","111","73"
18,"Fauske videregående skole","Bygg- og anleggsteknikk","84","80","4","76","73","3","82","77","5","82","81","1","91","87","4","86","80","6","81","76","5","82","76","6","83","75","8","61","57","4","70","60","10","79","65","14","68","61","7","70","63","7"
18,"Fauske videregående skole","Helse- og oppvekstfag","78","14","64","75","10","65","55","6","49","56","6","50","62","13","49","69","10","59","81","17","64","78","23","55","82","18","64","76","10","66","58","7","51","60","8","52","52","1","51","64","3","61"
18,"Fauske videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Fauske videregående skole","Restaurant- og matfag","19","9","10","18","8","10","21","10","11","24","11","13","22","5","17","9","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Fauske videregående skole","Service og samferdsel","13","13",NA,"15","14","1","13","13",NA,"15","12","3","15","13","2","14","14",NA,"16","14","2","12","7","5","10","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Fauske videregående skole","Teknologi- og industrifag","41","40","1","55","54","1","58","55","3","45","43","2","38","37","1","52","48","4","31","30","1","36","35","1","40","35","5","47","38","9","55","45","10","50","38","12","57","47","10","50","45","5"
