"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Hadsel videregående skole","Alle utdanningsprogram","496","241","255","485","246","239","501","244","257","514","267","247","541","266","275","483","244","239","459","235","224","445","250","195","374","228","146","379","223","156","329","188","141","351","205","146","378","224","154","379","197","182"
18,"Hadsel videregående skole","Studieforberedende","156","62","94","145","61","84","158","64","94","173","79","94","184","83","101","180","87","93","137","54","83","113","51","62","101","50","51","100","49","51","83","40","43","86","36","50","89","40","49","86","27","59"
18,"Hadsel videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","4","15","23","10","13","15","3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","15","4","11","10","2","8","12","3","9","16","5","11","8","7","1","12","5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Studiespesialisering","141","58","83","134","58","76","146","61","85","157","74","83","157","72","85","143","70","73","122","51","71","113","51","62","101","50","51","100","49","51","83","40","43","86","36","50","89","40","49","86","27","59"
18,"Hadsel videregående skole","Yrkesfaglig","340","179","161","340","185","155","343","180","163","341","188","153","357","183","174","303","157","146","322","181","141","332","199","133","273","178","95","279","174","105","246","148","98","265","169","96","289","184","105","293","170","123"
18,"Hadsel videregående skole","Bygg- og anleggsteknikk","29","25","4","22","21","1","31","28","3","26","24","2","16","16",NA,"14","14",NA,"29","23","6","34","30","4","34","30","4","27","25","2","23","20","3","31","27","4","28","26","2","32","28","4"
18,"Hadsel videregående skole","Design og håndverk","29","5","24","22","3","19","27","1","26","20","2","18","40","6","34","49","16","33","46","21","25","55","27","28","26","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Elektro og datateknologi","53","50","3","54","53","1","50","48","2","54","51","3","57","51","6","42","38","4","54","50","4","53","48","5","50","46","4","48","44","4","43","41","2","44","35","9","44","39","5","29","27","2"
18,"Hadsel videregående skole","Helse- og oppvekstfag","106","21","85","106","13","93","108","16","92","107","14","93","123","16","107","116","22","94","111","22","89","111","26","85","74","15","59","81","11","70","77","9","68","59","11","48","81","13","68","92","11","81"
18,"Hadsel videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","18","6","56","39","17","38","23","15","56","35","21","45","34","11","47","33","14"
18,"Hadsel videregående skole","Medier og kommunikasjon (gammel ordning)","33","8","25","32","10","22","31","15","16","35","19","16","18","9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Restaurant- og matfag","21","9","12","26","14","12","24","11","13","22","10","12","19","14","5","17","10","7","21","14","7","11","8","3",NA,NA,NA,"1","1",NA,"7","5","2","17","12","5","24","15","9","33","19","14"
18,"Hadsel videregående skole","Service og samferdsel","9","7","2","10","8","2","12","9","3","11","9","2","12","8","4","11","8","3","12","9","3","14","11","3","9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Hadsel videregående skole","Teknologi- og industrifag","60","54","6","68","63","5","60","52","8","66","59","7","72","63","9","54","49","5","49","42","7","54","49","5","56","47","9","66","54","12","58","50","8","58","49","9","67","57","10","60","52","8"
