"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter"
18,"Knut Hamsun videregående skole Avd Steigen","Alle utdanningsprogram","22","10","12","25","14","11","13","7","6"
18,"Knut Hamsun videregående skole Avd Steigen","Studieforberedende","8","3","5","8","4","4","9","5","4"
18,"Knut Hamsun videregående skole Avd Steigen","Studiespesialisering","8","3","5","8","4","4","9","5","4"
18,"Knut Hamsun videregående skole Avd Steigen","Yrkesfaglig","14","7","7","17","10","7","4","2","2"
18,"Knut Hamsun videregående skole Avd Steigen","Bygg- og anleggsteknikk","2","2",NA,NA,NA,NA,"2","2",NA
18,"Knut Hamsun videregående skole Avd Steigen","Design og håndverk","1",NA,"1",NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Avd Steigen","Elektro og datateknologi","2","2",NA,"4","4",NA,NA,NA,NA
18,"Knut Hamsun videregående skole Avd Steigen","Helse- og oppvekstfag","3",NA,"3","5",NA,"5","2",NA,"2"
18,"Knut Hamsun videregående skole Avd Steigen","Naturbruk","3",NA,"3","4","2","2",NA,NA,NA
18,"Knut Hamsun videregående skole Avd Steigen","Teknologi- og industrifag","3","3",NA,"4","4",NA,NA,NA,NA
