"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Alle utdanningsprogram","116","65","51","121","68","53","128","60","68","140","64","76","145","69","76","135","64","71","123","56","67","117","49","68","93","39","54","119","52","67","118","55","63","87","36","51","85","41","44","84","39","45"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Studieforberedende","72","40","32","76","42","34","100","44","56","115","49","66","107","45","62","102","47","55","81","34","47","82","31","51","82","32","50","108","47","61","99","47","52","76","32","44","82","40","42","70","28","42"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Idrettsfag",NA,NA,NA,"16","10","6","22","13","9","44","22","22","47","24","23","44","20","24","33","15","18","32","16","16","34","16","18","43","22","21","41","19","22","37","13","24","35","14","21","34","14","20"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Påbygging til generell studiekompetanse",NA,NA,NA,"1",NA,"1","3","1","2","4",NA,"4","2",NA,"2","2",NA,"2",NA,NA,NA,"1",NA,"1",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Studiespesialisering","72","40","32","59","32","27","75","30","45","67","27","40","58","21","37","56","27","29","48","19","29","49","15","34","48","16","32","63","25","38","58","28","30","39","19","20","47","26","21","36","14","22"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Yrkesfaglig","44","25","19","45","26","19","28","16","12","25","15","10","38","24","14","33","17","16","42","22","20","35","18","17","11","7","4","11","5","6","19","8","11","11","4","7","3","1","2","14","11","3"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Bygg- og anleggsteknikk","17","16","1","14","14",NA,"12","12",NA,"11","11",NA,"12","11","1","14","8","6","15","13","2","15","14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Design og håndverk","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Elektro og datateknologi","2","2",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10",NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Helse- og oppvekstfag","15","2","13","22","3","19","16","4","12","14","4","10","26","13","13","19","9","10","27","9","18","20","4","16","11","7","4","11","5","6","19","8","11","9","2","7","2",NA,"2","3",NA,"3"
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Naturbruk","3","3",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Restaurant- og matfag","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA
18,"Knut Hamsun videregående skole Joarkkaskåvllå","Teknologi- og industrifag","2","2",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
