"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Meløy videregående skole","Alle utdanningsprogram","280","172","108","290","173","117","273","159","114","281","170","111","245","126","119","245","142","103","262","163","99","277","185","92","240","159","81","241","156","85","257","167","90","252","154","98","232","131","101","227","134","93"
18,"Meløy videregående skole","Studieforberedende","86","39","47","95","44","51","93","36","57","108","50","58","88","37","51","82","32","50","85","31","54","86","40","46","71","36","35","67","31","36","59","24","35","65","27","38","55","22","33","43","19","24"
18,"Meløy videregående skole","Påbygging til generell studiekompetanse","1",NA,"1","1",NA,"1",NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,"12","5","7","14","5","9","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Meløy videregående skole","Studiespesialisering","85","39","46","94","44","50","93","36","57","106","48","58","88","37","51","82","32","50","73","26","47","72","35","37","69","36","33","67","31","36","59","24","35","65","27","38","55","22","33","43","19","24"
18,"Meløy videregående skole","Yrkesfaglig","194","133","61","195","129","66","180","123","57","173","120","53","157","89","68","163","110","53","177","132","45","191","145","46","169","123","46","174","125","49","198","143","55","187","127","60","177","109","68","184","115","69"
18,"Meløy videregående skole","Elektro og datateknologi","22","19","3","28","26","2","30","29","1","28","27","1","24","23","1","24","23","1","23","19","4","18","15","3","8","8",NA,"15","15",NA,"24","23","1","17","16","1","18","18",NA,"20","17","3"
18,"Meløy videregående skole","Helse- og oppvekstfag","39","6","33","35","3","32","34","4","30","39","6","33","48","7","41","30","8","22","26","6","20","17","2","15","26","7","19","27","5","22","25","7","18","22","7","15","28","4","24","20","2","18"
18,"Meløy videregående skole","Naturbruk","42","33","9","45","32","13","45","36","9","46","40","6","37","27","10","47","32","15","68","61","7","93","80","13","75","61","14","78","60","18","90","64","26","88","61","27","79","55","24","84","52","32"
18,"Meløy videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Meløy videregående skole","Teknologi- og industrifag","91","75","16","87","68","19","70","53","17","58","45","13","48","32","16","62","47","15","60","46","14","63","48","15","60","47","13","54","45","9","59","49","10","60","43","17","52","32","20","60","44","16"
