"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Mosjøen videregående skole","Alle utdanningsprogram","800","371","429","802","372","430","757","345","412","802","394","408","809","406","403","782","382","400","742","351","391","770","358","412","730","352","378","659","319","340","581","294","287","578","302","276","582","279","303","577","280","297"
18,"Mosjøen videregående skole","Studieforberedende","381","159","222","365","149","216","360","140","220","352","155","197","376","161","215","373","153","220","371","156","215","402","148","254","336","139","197","299","126","173","284","127","157","271","127","144","245","95","150","241","92","149"
18,"Mosjøen videregående skole","Idrettsfag","79","38","41","78","41","37","78","40","38","76","41","35","84","49","35","86","44","42","87","45","42","82","38","44","77","37","40","75","38","37","67","35","32","66","36","30","71","35","36","73","32","41"
18,"Mosjøen videregående skole","Musikk, dans og drama","67","31","36","67","30","37","67","24","43","54","19","35","48","18","30","62","25","37","54","16","38","57","15","42","51","20","31","50","21","29","53","27","26","48","20","28","49","18","31","49","23","26"
18,"Mosjøen videregående skole","Påbygging til generell studiekompetanse","51","17","34","27","3","24","26","6","20","31","14","17","32","11","21","32","10","22","29","11","18","51","17","34","25","6","19","26","6","20","38","12","26","35","18","17","26","7","19","24","3","21"
18,"Mosjøen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","6","5","1","13","8","5","14","3","11","8","3","5","11","1","10","10","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Mosjøen videregående skole","Studieforberedende Vg3 Naturbruk","17","3","14","18","4","14","16","3","13","18","4","14","18","3","15","21","5","16","17","2","15","18","1","17","14","5","9","12","2","10","18","7","11","17","8","9","14","3","11","10","2","8"
18,"Mosjøen videregående skole","Studiespesialisering","161","65","96","162","63","99","159","64","95","165","74","91","183","79","104","162","63","99","184","82","102","194","77","117","169","71","98","136","59","77","108","46","62","105","45","60","85","32","53","85","32","53"
18,"Mosjøen videregående skole","Yrkesfaglig","419","212","207","437","223","214","397","205","192","450","239","211","433","245","188","409","229","180","371","195","176","368","210","158","394","213","181","360","193","167","297","167","130","307","175","132","337","184","153","336","188","148"
18,"Mosjøen videregående skole","Bygg- og anleggsteknikk","35","32","3","32","31","1","43","43",NA,"45","42","3","37","32","5","43","42","1","31","28","3","22","22",NA,"23","19","4","37","34","3","22","17","5","18","15","3","20","17","3","23","21","2"
18,"Mosjøen videregående skole","Design og håndverk","24","1","23","28","1","27","16","2","14","26","1","25","38","11","27","51","19","32","38","12","26","20","4","16","9","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Mosjøen videregående skole","Elektro og datateknologi","36","30","6","31","28","3","32","31","1","48","45","3","45","44","1","31","31",NA,"30","24","6","30","27","3","31","27","4","28","25","3","30","29","1","30","28","2","43","40","3","45","41","4"
18,"Mosjøen videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","2","13","17",NA,"17","18","2","16","11","2","9","24","2","22","24",NA,"24"
18,"Mosjøen videregående skole","Helse- og oppvekstfag","98","12","86","87","13","74","101","20","81","94","17","77","93","17","76","79","12","67","89","16","73","95","14","81","108","26","82","100","21","79","56","11","45","71","13","58","64","8","56","48","3","45"
18,"Mosjøen videregående skole","Medier og kommunikasjon (gammel ordning)","31","9","22","31","8","23","31","9","22","31","14","17","14","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Mosjøen videregående skole","Naturbruk","101","46","55","111","45","66","79","32","47","96","42","54","106","54","52","114","53","61","110","55","55","101","60","41","107","56","51","111","57","54","111","56","55","109","60","49","118","60","58","109","54","55"
18,"Mosjøen videregående skole","Restaurant- og matfag","13","9","4","15","7","8","23","7","16","24","9","15","21","10","11","22","10","12","24","13","11","25","15","10","25","17","8","7","5","2","3","3",NA,"8","6","2","15","10","5","17","11","6"
18,"Mosjøen videregående skole","Teknologi- og industrifag","81","73","8","102","90","12","72","61","11","86","69","17","79","68","11","69","62","7","49","47","2","75","68","7","76","64","12","60","51","9","57","49","8","60","51","9","53","47","6","70","58","12"
