"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Narvik videregående skole","Alle utdanningsprogram","889","458","431","850","423","427","851","427","424","841","422","419","840","417","423","779","376","403","789","364","425","737","349","388","693","332","361","682","329","353","642","307","335","636","301","335","672","331","341","648","310","338"
18,"Narvik videregående skole","Studieforberedende","472","206","266","499","209","290","505","205","300","506","206","300","513","209","304","486","194","292","478","184","294","441","179","262","414","180","234","415","179","236","370","157","213","350","146","204","384","153","231","358","147","211"
18,"Narvik videregående skole","Idrettsfag","78","51","27","76","49","27","52","33","19","57","35","22","64","46","18","80","55","25","85","51","34","73","43","30","77","51","26","72","47","25","73","44","29","86","43","43","101","47","54","106","52","54"
18,"Narvik videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","1","11","10",NA,"10","7",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","9","6","30","14","16","38","19","19","23","11","12","11","6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Musikk, dans og drama","42","24","18","48","26","22","48","19","29","52","18","34","28","7","21","14","3","11","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Påbygging til generell studiekompetanse","56","18","38","57","12","45","53","14","39","50","22","28","36","16","20","51","13","38","50","19","31","54","17","37","30","9","21","51","14","37","37","14","23","23","10","13","32","6","26","24","3","21"
18,"Narvik videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","14","4","10","10","2","8","15","6","9","7","2","5","14","3","11","8","5","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Studiespesialisering","247","104","143","275","117","158","306","130","176","321","128","193","333","126","207","291","103","188","294","93","201","291","108","183","296","114","182","292","118","174","260","99","161","241","93","148","251","100","151","228","92","136"
18,"Narvik videregående skole","Studiespesialisering med formgivning","35","5","30","33","3","30","31","3","28","19","1","18","11","1","10","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Yrkesfaglig","417","252","165","351","214","137","346","222","124","335","216","119","327","208","119","293","182","111","311","180","131","296","170","126","279","152","127","267","150","117","272","150","122","286","155","131","288","178","110","290","163","127"
18,"Narvik videregående skole","Bygg- og anleggsteknikk","25","25",NA,"27","27",NA,"24","24",NA,"27","27",NA,"21","19","2","21","21",NA,"34","33","1","30","27","3","26","23","3","37","35","2","45","41","4","41","36","5","43","41","2","46","45","1"
18,"Narvik videregående skole","Design og håndverk","3",NA,"3","14",NA,"14",NA,NA,NA,"7",NA,"7",NA,NA,NA,"12","1","11","20","3","17","24","5","19","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Elektro og datateknologi","91","86","5","81","75","6","71","65","6","68","59","9","63","58","5","49","47","2","46","45","1","52","45","7","46","38","8","44","40","4","47","41","6","53","47","6","68","64","4","52","51","1"
18,"Narvik videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1","8","10","1","9","13",NA,"13","18","1","17","15","2","13","24","2","22"
18,"Narvik videregående skole","Helse- og oppvekstfag","110","6","104","104","18","86","99","24","75","91","23","68","104","22","82","97","22","75","100","18","82","98","19","79","101","23","78","101","19","82","94","13","81","97","12","85","89","12","77","97","10","87"
18,"Narvik videregående skole","Medier og kommunikasjon (gammel ordning)","31","13","18","28","10","18","30","7","23","29","11","18","12","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Restaurant- og matfag","19","6","13",NA,NA,NA,"15","7","8","24","16","8","24","15","9","22","11","11","29","17","12","25","15","10","25","12","13","17","4","13","24","10","14","21","12","9","23","14","9","16","8","8"
18,"Narvik videregående skole","Service og samferdsel","66","51","15","27","19","8","32","25","7","26","19","7","32","21","11","36","26","10","30","19","11","10","9","1","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Narvik videregående skole","Teknologi- og industrifag","72","65","7","70","65","5","75","70","5","63","61","2","71","66","5","56","54","2","52","45","7","57","50","7","59","50","9","58","51","7","49","45","4","56","47","9","50","45","5","55","47","8"
