"fylkesnr","skole","linje","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","...14 alle","...15 gutter","2020-21 jenter","2020-21 alle","2020-21 gutter","2021-22 jenter","2021-22 alle","2021-22 gutter","2023-24 jenter","2023-24 alle","2023-24 gutter","2025-26 jenter","2025-26 alle"
18,"Nettskolen i Nordland","Alle utdanningsprogram","40","9","31","35","8","27","111","35","76","5","5","6","1","5","6","1","5","17","5","12","4","2","2","1","1"
18,"Nettskolen i Nordland","Studieforberedende","25","6","19","19","5","14","57","25","32","2","2","3","1","2","6","1","5","16","5","11","1","1",NA,NA,NA
18,"Nettskolen i Nordland","Påbygging til generell studiekompetanse","25","6","19","19","5","14","57","25","32","2","2","3","1","2","6","1","5","16","5","11","1","1",NA,NA,NA
18,"Nettskolen i Nordland","Yrkesfaglig","15","3","12","16","3","13","54","10","44","3","3","3",NA,"3",NA,NA,NA,"1",NA,"1","3","1","2","1","1"
18,"Nettskolen i Nordland","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1"
18,"Nettskolen i Nordland","Elektro og datateknologi","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Nettskolen i Nordland","Helse- og oppvekstfag","11","1","10","12",NA,"12","44","6","38","3","3","3",NA,"3",NA,NA,NA,"1",NA,"1","3","1","2",NA,NA
18,"Nettskolen i Nordland","Naturbruk",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Nettskolen i Nordland","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Nettskolen i Nordland","Service og samferdsel","2",NA,"2","3","2","1","6","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Nettskolen i Nordland","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
