"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Polarsirkelen videregående skole","Alle utdanningsprogram","1269","642","627","1256","625","631","1235","636","599","1232","639","593","1194","604","590","1093","534","559","1082","559","523","1007","525","482","979","516","463","965","493","472","930","482","448","893","444","449","928","462","466","962","500","462"
18,"Polarsirkelen videregående skole","Studieforberedende","635","243","392","668","256","412","658","263","395","647","251","396","622","240","382","624","228","396","609","224","385","563","216","347","535","230","305","527","223","304","481","201","280","460","171","289","477","173","304","484","191","293"
18,"Polarsirkelen videregående skole","Idrettsfag","142","73","69","116","59","57","88","45","43","84","46","38","86","43","43","93","41","52","98","37","61","93","38","55","84","42","42","90","55","35","90","50","40","121","65","56","135","70","65","153","89","64"
18,"Polarsirkelen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","1","11","31","4","27","44","8","36","42","5","37","18","3","15","6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Polarsirkelen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","4","11","39","12","27","47","18","29","44","19","25","37","18","19","26","11","15","13","5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Polarsirkelen videregående skole","Musikk, dans og drama","36","12","24","47","12","35","42","8","34","44","8","36","38","7","31","42","9","33","35","7","28","45","9","36","35","6","29","38","8","30","37","6","31","31","4","27","30","4","26","20","4","16"
18,"Polarsirkelen videregående skole","Påbygging til generell studiekompetanse","58","8","50","52","13","39","54","25","29","56","25","31","64","28","36","73","30","43","79","33","46","50","22","28","52","21","31","57","16","41","59","22","37","45","10","35","47","11","36","44","15","29"
18,"Polarsirkelen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","8","1","7","16","5","11","15","5","10","6",NA,"6","12","4","8","8","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Polarsirkelen videregående skole","Studiespesialisering","348","147","201","386","159","227","411","173","238","427","165","262","380","151","229","337","128","209","305","121","184","289","123","166","309","140","169","310","133","177","282","118","164","263","92","171","265","88","177","267","83","184"
18,"Polarsirkelen videregående skole","Studiespesialisering med formgivning","43","2","41","51","8","43","48","7","41","30","7","23","15","2","13","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Polarsirkelen videregående skole","Yrkesfaglig","634","399","235","588","369","219","577","373","204","585","388","197","572","364","208","469","306","163","473","335","138","444","309","135","444","286","158","438","270","168","449","281","168","433","273","160","451","289","162","478","309","169"
18,"Polarsirkelen videregående skole","Bygg- og anleggsteknikk","103","93","10","111","100","11","92","84","8","87","81","6","92","82","10","73","64","9","80","75","5","93","85","8","77","66","11","77","61","16","74","58","16","81","61","20","90","65","25","86","71","15"
