"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Sandnessjøen videregående skole","Alle utdanningsprogram","488","236","252","464","218","246","471","239","232","429","219","210","439","222","217","433","214","219","426","225","201","436","234","202","422","237","185","376","213","163","351","178","173","369","197","172","371","184","187","367","181","186"
18,"Sandnessjøen videregående skole","Studieforberedende","255","104","151","247","98","149","248","100","148","231","93","138","233","97","136","240","88","152","240","112","128","249","112","137","244","111","133","201","91","110","190","78","112","200","83","117","191","69","122","179","71","108"
18,"Sandnessjøen videregående skole","Idrettsfag","63","38","25","61","30","31","61","35","26","59","33","26","65","40","25","67","37","30","66","43","23","72","48","24","80","51","29","47","26","21","48","18","30","44","16","28","62","19","43","63","29","34"
18,"Sandnessjøen videregående skole","Påbygging til generell studiekompetanse","30","8","22","23","9","14","26","7","19","29","13","16","24","7","17","25","7","18","20","8","12","26","12","14","24","9","15","22","11","11","16","7","9","17","7","10","10","4","6","11","4","7"
18,"Sandnessjøen videregående skole","Studiespesialisering","162","58","104","163","59","104","161","58","103","143","47","96","144","50","94","148","44","104","154","61","93","151","52","99","140","51","89","132","54","78","126","53","73","139","60","79","119","46","73","105","38","67"
18,"Sandnessjøen videregående skole","Yrkesfaglig","233","132","101","217","120","97","223","139","84","198","126","72","206","125","81","193","126","67","186","113","73","187","122","65","178","126","52","175","122","53","161","100","61","169","114","55","180","115","65","188","110","78"
18,"Sandnessjøen videregående skole","Design og håndverk","16","3","13","16","2","14","9","3","6",NA,NA,NA,"7",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Sandnessjøen videregående skole","Elektro og datateknologi","30","30",NA,"30","26","4","35","34","1","30","28","2","31","28","3","31","30","1","25","23","2","30","25","5","30","28","2","30","27","3","26","24","2","30","26","4","27","19","8","25","18","7"
18,"Sandnessjøen videregående skole","Helse- og oppvekstfag","77","14","63","71","16","55","76","15","61","64","11","53","70","16","54","70","19","51","61","10","51","61","18","43","63","20","43","54","19","35","52","11","41","54","14","40","53","15","38","60","19","41"
18,"Sandnessjøen videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","2","10","7","3","10","6","4","10","3","7","10","4","6","10","8","2","9","6","3","10","4","6"
18,"Sandnessjøen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA
18,"Sandnessjøen videregående skole","Service og samferdsel","34","15","19","27","13","14","25","17","8","29","22","7","24","14","10","27","20","7","30","16","14","29","17","12","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Sandnessjøen videregående skole","Teknologi- og industrifag","76","70","6","73","63","10","78","70","8","75","65","10","74","67","7","65","57","8","65","61","4","57","55","2","62","59","3","79","71","8","72","60","12","74","65","9","91","75","16","93","69","24"
