"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Sortland videregående skole avd Sortland","Alle utdanningsprogram","603","275","328","612","286","326","611","300","311","658","309","349","646","297","349","685","313","372","639","318","321","564","270","294","509","212","297","479","220","259","452","201","251","429","216","213","441","219","222","496","244","252"
18,"Sortland videregående skole avd Sortland","Studieforberedende","434","181","253","442","185","257","423","169","254","461","181","280","472","183","289","497","193","304","456","189","267","413","168","245","379","127","252","365","142","223","322","111","211","295","125","170","300","132","168","351","159","192"
18,"Sortland videregående skole avd Sortland","Idrettsfag","73","45","28","64","41","23","63","38","25","70","42","28","76","45","31","81","50","31","89","53","36","84","48","36","82","39","43","81","39","42","82","37","45","80","41","39","76","42","34","78","53","25"
18,"Sortland videregående skole avd Sortland","Musikk, dans og drama","68","30","38","66","26","40","63","18","45","69","24","45","64","24","40","66","20","46","65","21","44","66","21","45","64","19","45","58","18","40","46","11","35","34","7","27","41","13","28","47","16","31"
18,"Sortland videregående skole avd Sortland","Påbygging til generell studiekompetanse","57","15","42","70","31","39","59","22","37","64","17","47","64","18","46","67","12","55","56","20","36","50","23","27","51","20","31","45","24","21","29","5","24","27","7","20","24","7","17","41","18","23"
18,"Sortland videregående skole avd Sortland","Studiespesialisering","236","91","145","242","87","155","238","91","147","258","98","160","268","96","172","283","111","172","246","95","151","213","76","137","182","49","133","181","61","120","165","58","107","154","70","84","159","70","89","185","72","113"
18,"Sortland videregående skole avd Sortland","Yrkesfaglig","169","94","75","170","101","69","188","131","57","197","128","69","174","114","60","188","120","68","183","129","54","151","102","49","130","85","45","114","78","36","130","90","40","134","91","43","141","87","54","145","85","60"
18,"Sortland videregående skole avd Sortland","Bygg- og anleggsteknikk","68","64","4","71","67","4","60","58","2","55","51","4","46","41","5","36","35","1","20","19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Sortland videregående skole avd Sortland","Helse- og oppvekstfag","16","3","13","25","4","21","18","5","13","31","4","27","21","5","16","21","4","17","26","8","18","13","4","9","14","2","12","15","6","9","8","2","6","13","2","11","15","3","12","16","1","15"
18,"Sortland videregående skole avd Sortland","Naturbruk","48","14","34","44","18","26","81","50","31","41","31","10","47","28","19","71","40","31","84","58","26","86","56","30","95","66","29","90","67","23","114","86","28","120","88","32","112","76","36","105","72","33"
18,"Sortland videregående skole avd Sortland","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","9","9","19","10","9","24","13","11","18","15","3","15","11","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Sortland videregående skole avd Sortland","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","1","9","5","4","8","2","6","1","1",NA,"14","8","6","24","12","12"
18,"Sortland videregående skole avd Sortland","Service og samferdsel","37","13","24","30","12","18","29","18","11","52","33","19","41","30","11","36","28","8","35","29","6","37","31","6","15","12","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
