"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Vest-Lofoten videregående skole","Alle utdanningsprogram","501","278","223","535","278","257","533","283","250","594","296","298","517","264","253","489","240","249","486","272","214","469","252","217","483","279","204","472","259","213","431","234","197","415","210","205","427","206","221","394","182","212"
18,"Vest-Lofoten videregående skole","Studieforberedende","258","107","151","265","106","159","266","94","172","309","100","209","269","94","175","273","103","170","264","117","147","252","106","146","268","115","153","257","100","157","236","99","137","219","86","133","203","75","128","193","69","124"
18,"Vest-Lofoten videregående skole","Idrettsfag","81","36","45","79","35","44","83","30","53","84","34","50","81","33","48","84","39","45","80","35","45","70","36","34","79","39","40","77","39","38","67","36","31","63","28","35","62","24","38","72","27","45"
18,"Vest-Lofoten videregående skole","Påbygging til generell studiekompetanse","26","10","16","31","14","17","31","13","18","32","9","23","28","9","19","30","17","13","33","19","14","26","6","20","28","10","18","28","14","14","26","10","16","30","9","21","25","7","18","21","7","14"
18,"Vest-Lofoten videregående skole","Studiespesialisering","151","61","90","155","57","98","152","51","101","193","57","136","160","52","108","159","47","112","151","63","88","156","64","92","161","66","95","152","47","105","143","53","90","126","49","77","116","44","72","100","35","65"
18,"Vest-Lofoten videregående skole","Yrkesfaglig","243","171","72","270","172","98","267","189","78","285","196","89","248","170","78","216","137","79","222","155","67","217","146","71","215","164","51","215","159","56","195","135","60","196","124","72","224","131","93","201","113","88"
18,"Vest-Lofoten videregående skole","Bygg- og anleggsteknikk","53","49","4","51","48","3","55","55",NA,"55","54","1","43","41","2","39","37","2","46","45","1","46","44","2","48","45","3","39","34","5","28","25","3","30","22","8","20","16","4","21","20","1"
18,"Vest-Lofoten videregående skole","Elektro og datateknologi","59","54","5","60","52","8","73","66","7","75","66","9","77","71","6","51","49","2","45","37","8","45","37","8","45","39","6","55","50","5","46","40","6","40","36","4","54","44","10","53","42","11"
18,"Vest-Lofoten videregående skole","Helse- og oppvekstfag","48","3","45","69","5","64","61","8","53","69","13","56","53","10","43","59","11","48","46","9","37","51","12","39","44","16","28","43","12","31","42","5","37","45","1","44","58","6","52","54","2","52"
18,"Vest-Lofoten videregående skole","Naturbruk","32","30","2","37","34","3","32","25","7","29","25","4","29","21","8","29","22","7","42","34","8","38","30","8","44","36","8","36","31","5","41","38","3","48","41","7","46","36","10","40","33","7"
18,"Vest-Lofoten videregående skole","Restaurant- og matfag","21","7","14","24","9","15","16","7","9","27","11","16","23","9","14","23","9","14","25","13","12","24","13","11","12","6","6","20","12","8","17","7","10","9","3","6","21","8","13","18","6","12"
18,"Vest-Lofoten videregående skole","Teknologi- og industrifag","30","28","2","29","24","5","30","28","2","30","27","3","23","18","5","15","9","6","18","17","1","13","10","3","22","22",NA,"22","20","2","21","20","1","24","21","3","25","21","4","15","10","5"
