"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
1,"Hele landet","Alle utdanningsprogram","190515","95553","94962","189692","95099","94593","189473","94664","94809","190039","95052","94987","191053","95943","95110","189657","94922","94735","188482","94393","94089","186995","93383","93612","188214","93567","94647","186185","92202","93983","185416","91370","94046","186074","91515","94559","189349","93392","95957","193809","96282","97527"
1,"Hele landet","Studieforberedende","114026","51334","62692","115520","51727","63793","117129","52060","65069","118013","52386","65627","121409","54202","67207","123095","54798","68297","121390","53936","67454","119141","52577","66564","119244","52521","66723","117990","51891","66099","116789","50968","65821","116279","50455","65824","117187","50775","66412","117823","51616","66207"
1,"Hele landet","Idrettsfag","11295","6891","4404","11291","6872","4419","11437","6839","4598","11795","6892","4903","12168","7109","5059","12461","7181","5280","12422","7147","5275","12259","6863","5396","12536","6993","5543","12597","7058","5539","12569","7110","5459","12593","7216","5377","12955","7461","5494","13122","7638","5484"
1,"Hele landet","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1105","231","874","2092","474","1618","2996","669","2327","2989","654","2335","3089","642","2447","3194","609","2585","3380","575","2805","3588","601","2987","3624","604","3020","3564","648","2916"
1,"Hele landet","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2886","1481","1405","5025","2565","2460","6854","3494","3360","6382","3268","3114","5863","2985","2878","5200","2607","2593","4792","2202","2590","4437","1856","2581","4494","1785","2709","4161","1611","2550"
1,"Hele landet","Musikk, dans og drama","6437","2282","4155","6458","2199","4259","6277","2045","4232","6200","1994","4206","6204","1966","4238","6258","1984","4274","6307","1988","4319","6327","1948","4379","6285","1980","4305","6055","1943","4112","5932","1910","4022","5791","1825","3966","5870","1845","4025","5941","1940","4001"
1,"Hele landet","Påbygging til generell studiekompetanse","11156","4202","6954","10493","3897","6596","10579","3979","6600","10832","4319","6513","10924","4466","6458","11335","4587","6748","10842","4273","6569","10691","4057","6634","10980","4117","6863","10835","4089","6746","10609","3763","6846","10415","3747","6668","10819","3774","7045","10726","4016","6710"
1,"Hele landet","Studieforberedende Vg3 Medier og kommunikasjon","2368","1059","1309","2182","972","1210","2216","921","1295","1925","859","1066","1877","934","943","1868","968","900","4","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hele landet","Studieforberedende Vg3 Naturbruk","418","115","303","433","122","311","466","132","334","402","110","292","391","102","289","400","100","300","468","115","353","461","129","332","471","148","323","460","134","326","483","140","343","473","130","343","483","127","356","463","119","344"
1,"Hele landet","Studiespesialisering","79545","36313","43232","82020","37208","44812","83580","37689","45891","84366","37724","46642","84282","37607","46675","82897","36762","46135","81493","36247","45246","80032","35658","44374","80020","35656","44364","79649","35451","44198","79024","35268","43756","78982","35080","43902","78942","35179","43763","79846","35644","44202"
1,"Hele landet","Studiespesialisering med formgivning","2807","472","2335","2643","457","2186","2574","455","2119","2493","488","2005","1572","306","1266","759","177","582","4","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hele landet","Yrkesfaglig","76489","44219","32270","74172","43372","30800","72344","42604","29740","72026","42666","29360","69644","41741","27903","66562","40124","26438","67092","40457","26635","67854","40806","27048","68970","41046","27924","68195","40311","27884","68627","40402","28225","69795","41060","28735","72162","42617","29545","75986","44666","31320"
1,"Hele landet","Bygg- og anleggsteknikk","8722","8421","301","8363","8076","287","7863","7553","310","7720","7414","306","7884","7541","343","8113","7728","385","8460","8039","421","8591","8092","499","8711","8099","612","8999","8208","791","9226","8277","949","9397","8428","969","9571","8663","908","9762","8888","874"
1,"Hele landet","Design og håndverk","5059","584","4475","4449","540","3909","4029","512","3517","3879","522","3357","3899","649","3250","3816","746","3070","3684","870","2814","3571","868","2703","1568","364","1204","206","22","184","1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA
1,"Hele landet","Elektro og datateknologi","9995","9465","530","10268","9709","559","10396","9810","586","10511","9867","644","10466","9895","571","10201","9675","526","9851","9259","592","9788","9158","630","9802","9143","659","9782","9137","645","9800","9125","675","10088","9324","764","10489","9638","851","10896","10012","884"
1,"Hele landet","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1257","137","1120","2058","160","1898","2344","184","2160","2403","178","2225","2534","183","2351","2713","186","2527"
1,"Hele landet","Helse- og oppvekstfag","16993","2507","14486","16397","2412","13985","16205","2379","13826","16851","2481","14370","17951","2945","15006","18637","3376","15261","19313","3672","15641","19744","3812","15932","19739","3556","16183","19031","3232","15799","18252","2839","15413","17632","2517","15115","17812","2463","15349","18953","2461","16492"
1,"Hele landet","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328","99","229","663","194","469","666","176","490","702","187","515","719","187","532","737","177","560"
1,"Hele landet","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1378","1184","194","2642","2263","379","2932","2460","472","3184","2657","527","3252","2740","512","3378","2862","516"
1,"Hele landet","Medier og kommunikasjon (gammel ordning)","7222","2964","4258","6675","2736","3939","6288","2849","3439","6027","3027","3000","2818","1476","1342","77","59","18","15","14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hele landet","Naturbruk","3832","1847","1985","3740","1825","1915","3728","1847","1881","3692","1862","1830","3925","1939","1986","4266","2066","2200","4427","2262","2165","4443","2279","2164","4747","2388","2359","4546","2237","2309","4672","2298","2374","4767","2340","2427","4719","2331","2388","4839","2372","2467"
1,"Hele landet","Restaurant- og matfag","4151","2189","1962","3848","1982","1866","3770","1904","1866","3771","1866","1905","3649","1861","1788","3347","1734","1613","3256","1703","1553","3283","1772","1511","3194","1700","1494","3058","1606","1452","3148","1611","1537","3084","1566","1518","3268","1686","1582","3474","1842","1632"
1,"Hele landet","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3234","1880","1354","5085","2911","2174","5087","2858","2229","5452","2858","2594","6005","3105","2900","6408","3348","3060"
1,"Hele landet","Service og samferdsel","7562","4663","2899","7537","4531","3006","7366","4462","2904","7374","4749","2625","7597","5131","2466","7587","5225","2362","7572","5217","2355","7505","5131","2374","3675","2623","1052","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA
1,"Hele landet","Teknologi- og industrifag","12953","11579","1374","12895","11561","1334","12699","11288","1411","12201","10878","1323","11455","10304","1151","10518","9515","1003","10514","9421","1093","10929","9694","1235","11337","9873","1464","12124","10340","1784","12499","10573","1926","13085","11005","2080","13793","11621","2172","14825","12517","2308"
