"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Askim videregående skole","Alle utdanningsprogram","931","496","435","976","519","457","985","528","457","1022","548","474","1003","552","451","969","523","446","996","545","451","974","511","463","976","516","460","954","513","441","1003","538","465","968","504","464","934","460","474","913","476","437"
31,"Askim videregående skole","Studieforberedende","571","247","324","618","267","351","633","283","350","646","289","357","640","302","338","627","284","343","623","274","349","571","236","335","596","252","344","588","254","334","619","273","346","604","266","338","586","235","351","559","249","310"
31,"Askim videregående skole","Idrettsfag","64","40","24","68","39","29","83","47","36","81","51","30","79","46","33","84","40","44","84","42","42","83","39","44","84","51","33","86","41","45","86","38","48","89","38","51","90","40","50","89","44","45"
31,"Askim videregående skole","Musikk, dans og drama","41","23","18","40","19","21","42","16","26","39","13","26","41","15","26","40","15","25","39","15","24","37","15","22","43","17","26","38","14","24","44","17","27","39","18","21","49","15","34","49","15","34"
31,"Askim videregående skole","Påbygging til generell studiekompetanse","57","18","39","55","20","35","53","23","30","73","34","39","74","43","31","72","35","37","75","28","47","60","33","27","73","40","33","84","54","30","82","42","40","89","46","43","70","28","42","31","18","13"
31,"Askim videregående skole","Studiespesialisering","409","166","243","455","189","266","455","197","258","453","191","262","446","198","248","431","194","237","425","189","236","391","149","242","396","144","252","380","145","235","407","176","231","387","164","223","377","152","225","390","172","218"
31,"Askim videregående skole","Yrkesfaglig","360","249","111","358","252","106","352","245","107","376","259","117","363","250","113","342","239","103","373","271","102","403","275","128","380","264","116","366","259","107","384","265","119","364","238","126","348","225","123","354","227","127"
31,"Askim videregående skole","Bygg- og anleggsteknikk","37","36","1","39","35","4","28","25","3","28","26","2","24","23","1","26","26",NA,"27","27",NA,"25","25",NA,"28","28",NA,"27","26","1","30","30",NA,"14","14",NA,NA,NA,NA,NA,NA,NA
31,"Askim videregående skole","Elektro og datateknologi","86","84","2","89","84","5","87","84","3","92","88","4","86","82","4","78","77","1","86","81","5","91","84","7","89","86","3","90","88","2","88","84","4","91","85","6","93","89","4","86","82","4"
31,"Askim videregående skole","Helse- og oppvekstfag","104","19","85","99","24","75","102","23","79","109","19","90","110","18","92","113","22","91","119","35","84","140","35","105","119","29","90","113","33","80","115","20","95","109","18","91","101","13","88","105","16","89"
31,"Askim videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","23","11","44","26","18","51","39","12","50","36","14","48","25","23","46","25","21"
31,"Askim videregående skole","Service og samferdsel","59","43","16","59","43","16","61","44","17","66","50","16","70","59","11","71","62","9","69","62","7","72","64","8","35","30","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Askim videregående skole","Teknologi- og industrifag","74","67","7","72","66","6","74","69","5","81","76","5","73","68","5","54","52","2","72","66","6","75","67","8","75","68","7","92","86","6","100","92","8","100","85","15","106","98","8","117","104","13"
