"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Borg videregående skole","Alle utdanningsprogram","608","384","224","586","377","209","540","345","195","553","342","211","543","330","213","520","326","194","584","384","200","606","343","263","539","321","218","504","315","189","516","325","191","528","337","191","524","353","171","543","367","176"
31,"Borg videregående skole","Studieforberedende","44","22","22","54","23","31","46","21","25","50","22","28","48","19","29","44","20","24","35","20","15","29","17","12","32","17","15","26","11","15","21","8","13","23","6","17","25","10","15","16","10","6"
31,"Borg videregående skole","Påbygging til generell studiekompetanse","30","15","15","34","13","21","29","15","14","30","12","18","28","7","21","29","8","21","27","13","14","28","16","12","25","10","15","25","11","14","21","8","13","23","6","17","24","9","15",NA,NA,NA
31,"Borg videregående skole","Studieforberedende Vg3 Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Borg videregående skole","Studiespesialisering","14","7","7","20","10","10","17","6","11","20","10","10","20","12","8","15","12","3","8","7","1","1","1",NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1",NA,"16","10","6"
31,"Borg videregående skole","Yrkesfaglig","564","362","202","532","354","178","494","324","170","503","320","183","495","311","184","476","306","170","549","364","185","577","326","251","507","304","203","478","304","174","495","317","178","505","331","174","499","343","156","527","357","170"
31,"Borg videregående skole","Bygg- og anleggsteknikk","83","78","5","76","72","4","71","68","3","73","71","2","62","61","1","64","63","1","69","67","2","57","55","2","47","43","4","60","54","6","75","71","4","77","73","4","80","78","2","73","71","2"
31,"Borg videregående skole","Elektro og datateknologi","127","119","8","127","121","6","133","126","7","130","126","4","135","132","3","128","124","4","133","129","4","126","119","7","118","112","6","117","110","7","120","115","5","120","114","6","121","115","6","123","120","3"
31,"Borg videregående skole","Helse- og oppvekstfag","213","46","167","192","38","154","171","19","152","186","19","167","195","26","169","189","32","157","221","52","169","278","54","224","217","47","170","183","39","144","178","31","147","166","32","134","156","28","128","175","37","138"
31,"Borg videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8",NA,"10","6","4","16","10","6","24","18","6","23","18","5","29","19","10","31","17","14","21","11","10"
31,"Borg videregående skole","Teknologi- og industrifag","141","119","22","137","123","14","119","111","8","114","104","10","103","92","11","95","87","8","118","108","10","106","92","14","109","92","17","94","83","11","99","82","17","113","93","20","111","105","6","135","118","17"
