"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Glemmen videregående skole","Alle utdanningsprogram","1275","553","722","1248","538","710","1248","544","704","1221","552","669","1220","559","661","1089","519","570","1168","523","645","1189","535","654","1162","550","612","1309","621","688","1355","632","723","1361","623","738","1384","628","756","1457","668","789"
31,"Glemmen videregående skole","Studieforberedende","334","93","241","338","86","252","370","94","276","370","99","271","405","111","294","425","137","288","441","148","293","495","153","342","499","171","328","538","186","352","572","186","386","559","182","377","552","167","385","566","173","393"
31,"Glemmen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","13","47","119","32","87","174","48","126","177","45","132","173","41","132","172","32","140","165","31","134","157","26","131","161","25","136","135","22","113"
31,"Glemmen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","10","15","58","24","34","80","35","45","116","56","60","138","69","69","153","76","77","143","59","84","151","55","96","158","49","109","127","36","91"
31,"Glemmen videregående skole","Påbygging til generell studiekompetanse","90","33","57","93","35","58","119","44","75","127","36","91","131","39","92","131","48","83","152","56","96","171","46","125","148","50","98","173","64","109","203","75","128","187","81","106","180","71","109","253","97","156"
31,"Glemmen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","49","18","31","44","14","30","38","15","23","40","20","20","43","21","22","23","13","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Glemmen videregående skole","Studiespesialisering","19","6","13","23","7","16","31","8","23","28","8","20","32","7","25","36","6","30","35","9","26","31","6","25","40","11","29","40","14","26","61","21","40","64","20","44","53","22","31","51","18","33"
31,"Glemmen videregående skole","Studiespesialisering med formgivning","176","36","140","178","30","148","182","27","155","175","35","140","114","21","93","58","14","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Glemmen videregående skole","Yrkesfaglig","941","460","481","910","452","458","878","450","428","851","453","398","815","448","367","664","382","282","727","375","352","694","382","312","663","379","284","771","435","336","783","446","337","802","441","361","832","461","371","891","495","396"
31,"Glemmen videregående skole","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
