"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Greåker videregående skole","Alle utdanningsprogram","884","439","445","940","483","457","942","450","492","1006","462","544","1041","469","572","941","425","516","996","473","523","1004","480","524","995","463","532","1013","428","585","1043","452","591","1068","458","610","1043","461","582","1067","472","595"
31,"Greåker videregående skole","Studieforberedende","571","252","319","617","292","325","644","296","348","706","304","402","748","312","436","654","260","394","684","277","407","661","276","385","696","312","384","695","297","398","711","304","407","720","287","433","722","313","409","726","313","413"
31,"Greåker videregående skole","Musikk, dans og drama","82","28","54","89","36","53","96","31","65","87","28","59","89","25","64","83","22","61","89","22","67","89","24","65","88","28","60","87","31","56","87","35","52","86","29","57","89","32","57","90","30","60"
31,"Greåker videregående skole","Påbygging til generell studiekompetanse","106","47","59","101","48","53","112","56","56","115","47","68","110","34","76","45","18","27","69","29","40","72","26","46","77","34","43","83","29","54","104","35","69","98","18","80","103","33","70","96","31","65"
31,"Greåker videregående skole","Studiespesialisering","383","177","206","427","208","219","436","209","227","504","229","275","549","253","296","526","220","306","526","226","300","500","226","274","531","250","281","525","237","288","520","234","286","536","240","296","530","248","282","540","252","288"
31,"Greåker videregående skole","Yrkesfaglig","313","187","126","323","191","132","298","154","144","300","158","142","293","157","136","287","165","122","312","196","116","343","204","139","299","151","148","318","131","187","332","148","184","348","171","177","321","148","173","341","159","182"
31,"Greåker videregående skole","Bygg- og anleggsteknikk","150","146","4","147","145","2","122","121","1","122","120","2","117","116","1","116","113","3","140","138","2","150","145","5","117","112","5","112","102","10","126","118","8","139","132","7","118","111","7","131","123","8"
31,"Greåker videregående skole","Helse- og oppvekstfag","163","41","122","176","46","130","176","33","143","178","38","140","176","41","135","171","52","119","172","58","114","193","59","134","182","39","143","206","29","177","206","30","176","209","39","170","202","36","166","209","36","173"
31,"Greåker videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
31,"Greåker videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1"
