"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Halden videregående skole","Alle utdanningsprogram","1016","507","509","1027","488","539","1042","512","530","1042","533","509","1038","549","489","997","544","453","1061","582","479","1037","551","486","1027","531","496","1001","529","472","935","507","428","967","508","459","998","481","517","1026","507","519"
31,"Halden videregående skole","Studieforberedende","594","245","349","592","234","358","649","273","376","637","280","357","644","288","356","604","285","319","632","312","320","630","298","332","605","269","336","569","258","311","514","221","293","524","224","300","526","195","331","542","194","348"
31,"Halden videregående skole","Idrettsfag","92","50","42","91","42","49","91","47","44","91","44","47","83","49","34","81","47","34","83","53","30","77","46","31","78","46","32","88","49","39","85","51","34","87","48","39","93","44","49","90","37","53"
31,"Halden videregående skole","Musikk, dans og drama","71","20","51","68","21","47","61","18","43","57","26","31","48","18","30","55","22","33","57","19","38","51","13","38","42","9","33","41","9","32","35","9","26","38","10","28","44","15","29","52","20","32"
31,"Halden videregående skole","Påbygging til generell studiekompetanse","68","27","41","62","19","43","93","46","47","63","34","29","61","31","30","31","11","20","53","22","31","84","34","50","80","37","43","67","33","34","71","21","50","75","42","33","73","27","46","56","17","39"
31,"Halden videregående skole","Studiespesialisering","363","148","215","371","152","219","404","162","242","426","176","250","452","190","262","437","205","232","439","218","221","418","205","213","405","177","228","373","167","206","323","140","183","324","124","200","316","109","207","344","120","224"
31,"Halden videregående skole","Yrkesfaglig","422","262","160","435","254","181","393","239","154","405","253","152","394","261","133","393","259","134","429","270","159","407","253","154","422","262","160","432","271","161","421","286","135","443","284","159","472","286","186","484","313","171"
31,"Halden videregående skole","Bygg- og anleggsteknikk","43","41","2","44","44",NA,"41","36","5","43","38","5","38","37","1","31","31",NA,"38","37","1","40","37","3","46","46",NA,"48","46","2","46","46",NA,"59","58","1","58","55","3","62","58","4"
31,"Halden videregående skole","Elektro og datateknologi","54","51","3","60","59","1","43","40","3","58","56","2","56","55","1","60","59","1","55","53","2","55","50","5","57","54","3","58","57","1","60","59","1","54","50","4","55","50","5","59","57","2"
31,"Halden videregående skole","Helse- og oppvekstfag","131","14","117","134","17","117","115","21","94","128","21","107","118","26","92","130","30","100","132","15","117","126","14","112","136","18","118","125","12","113","109","19","90","112","9","103","123","6","117","136","18","118"
31,"Halden videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","26","3","54","46","8","53","45","8","55","45","10","40","32","8","34","28","6"
31,"Halden videregående skole","Naturbruk","6","5","1","4","3","1","6","5","1","6","6",NA,"5","4","1","3","2","1","7","5","2","7","5","2","7","4","3","3","2","1","4","4",NA,"4","3","1","5",NA,"5","4","3","1"
31,"Halden videregående skole","Restaurant- og matfag","32","17","15","31","10","21","26","12","14","22","6","16","25","13","12","23","15","8","29","16","13","27","13","14","22","12","10","20","10","10","22","10","12","27","14","13","21","7","14","23","15","8"
31,"Halden videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","14","8","38","26","12","41","25","16","38","22","16","58","34","24","52","32","20"
31,"Halden videregående skole","Service og samferdsel","66","50","16","69","41","28","67","40","27","64","50","14","71","51","20","66","47","19","75","59","16","65","51","14","26","23","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Halden videregående skole","Teknologi- og industrifag","90","84","6","93","80","13","95","85","10","84","76","8","81","75","6","80","75","5","93","85","8","87","83","4","77","65","12","86","72","14","86","78","8","94","83","11","112","102","10","114","102","12"
