"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Kalnes videregående skole","Alle utdanningsprogram","454","188","266","464","188","276","430","165","265","396","155","241","404","171","233","376","170","206","388","187","201","425","187","238","428","177","251","419","203","216","411","194","217","444","226","218","449","223","226","436","220","216"
31,"Kalnes videregående skole","Studieforberedende","147","64","83","147","61","86","148","58","90","147","62","85","137","56","81","142","70","72","134","61","73","141","61","80","156","71","85","151","74","77","136","61","75","129","66","63","136","58","78","100","45","55"
31,"Kalnes videregående skole","Idrettsfag","86","44","42","89","44","45","89","42","47","85","44","41","81","50","31","83","55","28","76","49","27","76","45","31","80","42","38","79","49","30","76","44","32","73","45","28","73","40","33","40","27","13"
31,"Kalnes videregående skole","Påbygging til generell studiekompetanse","27","15","12","39","12","27","29","12","17","32","10","22","31","2","29","29","13","16","29","7","22","42","11","31","50","25","25","48","19","29","40","15","25","35","15","20","31","11","20","31","8","23"
31,"Kalnes videregående skole","Studieforberedende Vg3 Naturbruk","34","5","29","19","5","14","30","4","26","30","8","22","25","4","21","30","2","28","29","5","24","23","5","18","26","4","22","24","6","18","19","1","18","20","5","15","32","7","25","26","7","19"
31,"Kalnes videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"3","3",NA
31,"Kalnes videregående skole","Yrkesfaglig","307","124","183","317","127","190","282","107","175","249","93","156","267","115","152","234","100","134","254","126","128","284","126","158","272","106","166","268","129","139","275","133","142","315","160","155","313","165","148","336","175","161"
31,"Kalnes videregående skole","Bygg- og anleggsteknikk","58","58",NA,"55","54","1","45","44","1","45","44","1","51","50","1","46","46",NA,"59","57","2","51","51",NA,"54","50","4","87","76","11","76","68","8","95","91","4","101","88","13","93","84","9"
31,"Kalnes videregående skole","Design og håndverk","84","4","80","87","12","75","79","8","71","64","4","60","58","5","53","52","4","48","43","8","35","62","5","57","20","1","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Kalnes videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","1","26","38","1","37","45","5","40","52","6","46","60","8","52","76","6","70"
31,"Kalnes videregående skole","Naturbruk","165","62","103","175","61","114","158","55","103","140","45","95","158","60","98","136","50","86","152","61","91","171","70","101","171","54","117","143","52","91","154","60","94","168","63","105","152","69","83","167","85","82"
