"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Kirkeparken videregående skole","Alle utdanningsprogram","928","436","492","975","458","517","986","462","524","1000","456","544","1011","463","548","928","456","472","944","443","501","979","465","514","970","452","518","992","450","542","1011","445","566","1012","447","565","1004","458","546","1021","453","568"
31,"Kirkeparken videregående skole","Studieforberedende","766","347","419","810","362","448","808","352","456","823","347","476","832","346","486","779","347","432","798","340","458","846","378","468","817","351","466","816","331","485","832","322","510","831","321","510","821","336","485","812","324","488"
31,"Kirkeparken videregående skole","Idrettsfag","144","93","51","165","98","67","165","93","72","169","86","83","171","91","80","140","87","53","146","92","54","149","92","57","177","96","81","172","88","84","180","82","98","180","87","93","180","95","85","153","93","60"
31,"Kirkeparken videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","9","21","58","13","45","88","19","69","90","19","71","83","16","67","80","19","61","81","15","66","87","19","68","85","12","73","88","10","78"
31,"Kirkeparken videregående skole","Musikk, dans og drama","81","22","59","85","22","63","88","23","65","87","22","65","89","25","64","81","20","61","85","29","56","86","28","58","87","31","56","87","26","61","82","25","57","81","23","58","81","25","56","78","22","56"
31,"Kirkeparken videregående skole","Påbygging til generell studiekompetanse","30","14","16","33","12","21","30","15","15","32","16","16","31","16","15","31","25","6","30","16","14","82","45","37","28","18","10","31","17","14","38","18","20","31","19","12","30","21","9",NA,NA,NA
31,"Kirkeparken videregående skole","Studiespesialisering","439","205","234","442","211","231","450","205","245","453","203","250","456","193","263","444","194","250","446","183","263","439","194","245","442","190","252","446","181","265","451","182","269","452","173","279","445","183","262","493","199","294"
31,"Kirkeparken videregående skole","Studiespesialisering med formgivning","72","13","59","85","19","66","75","16","59","82","20","62","55","12","43","25","8","17","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Kirkeparken videregående skole","Yrkesfaglig","162","89","73","165","96","69","178","110","68","177","109","68","179","117","62","149","109","40","146","103","43","133","87","46","153","101","52","176","119","57","179","123","56","181","126","55","183","122","61","209","129","80"
31,"Kirkeparken videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","28","3","59","52","7","64","54","10","65","55","10","60","49","11","56","43","13"
31,"Kirkeparken videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA
31,"Kirkeparken videregående skole","Restaurant- og matfag","42","15","27","44","22","22","55","26","29","52","25","27","49","20","29","35","19","16","39","23","16","38","18","20","39","18","21","42","17","25","40","15","25","40","21","19","45","21","24","47","23","24"
31,"Kirkeparken videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","24","19","75","50","25","75","54","21","76","50","26","78","52","26","105","62","43"
31,"Kirkeparken videregående skole","Service og samferdsel","120","74","46","121","74","47","123","84","39","125","84","41","130","97","33","114","90","24","107","80","27","95","69","26","40","31","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
