"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Malakoff videregående skole","Alle utdanningsprogram","896","505","391","904","502","402","908","513","395","927","533","394","928","530","398","911","517","394","966","532","434","983","520","463","948","490","458","891","488","403","910","525","385","906","491","415","871","471","400","969","526","443"
31,"Malakoff videregående skole","Studieforberedende","447","221","226","436","206","230","442","224","218","460","230","230","475","245","230","450","225","225","481","231","250","487","227","260","463","215","248","431","209","222","441","211","230","422","187","235","423","191","232","510","231","279"
31,"Malakoff videregående skole","Påbygging til generell studiekompetanse","59","29","30","59","32","27","59","20","39","57","27","30","57","26","31","58","29","29","75","31","44","102","53","49","113","48","65","110","50","60","110","44","66","92","31","61","82","39","43","135","71","64"
31,"Malakoff videregående skole","Studiespesialisering","388","192","196","377","174","203","383","204","179","403","203","200","418","219","199","392","196","196","406","200","206","385","174","211","350","167","183","321","159","162","331","167","164","330","156","174","341","152","189","375","160","215"
31,"Malakoff videregående skole","Yrkesfaglig","449","284","165","468","296","172","466","289","177","467","303","164","453","285","168","461","292","169","485","301","184","496","293","203","485","275","210","460","279","181","469","314","155","484","304","180","448","280","168","459","295","164"
31,"Malakoff videregående skole","Bygg- og anleggsteknikk","67","65","2","79","78","1","67","64","3","72","71","1","64","61","3","63","62","1","66","65","1","68","67","1","64","64",NA,"58","58",NA,"73","73",NA,"79","79",NA,"73","71","2","76","74","2"
31,"Malakoff videregående skole","Elektro og datateknologi","121","116","5","118","112","6","124","117","7","124","119","5","124","119","5","113","106","7","119","115","4","129","125","4","119","115","4","124","121","3","127","126","1","128","124","4","121","117","4","129","124","5"
31,"Malakoff videregående skole","Helse- og oppvekstfag","196","44","152","197","37","160","205","41","164","206","50","156","208","51","157","227","69","158","232","62","170","233","40","193","231","33","198","201","33","168","188","37","151","200","30","170","184","27","157","170","23","147"
31,"Malakoff videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Malakoff videregående skole","Teknologi- og industrifag","65","59","6","74","69","5","70","67","3","65","63","2","56","53","3","58","55","3","68","59","9","66","61","5","71","63","8","77","67","10","81","78","3","77","71","6","70","65","5","84","74","10"
