"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Mysen videregående skole","Alle utdanningsprogram","904","397","507","955","394","561","933","413","520","917","408","509","959","454","505","910","448","462","901","433","468","880","422","458","895","430","465","871","423","448","851","407","444","878","417","461","848","402","446","994","500","494"
31,"Mysen videregående skole","Studieforberedende","440","198","242","501","204","297","498","212","286","489","216","273","509","224","285","510","242","268","483","208","275","461","200","261","455","185","270","441","185","256","409","182","227","430","173","257","423","169","254","495","216","279"
31,"Mysen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","7","20","49","11","38","71","18","53","63","21","42","59","23","36","46","22","24","57","27","30","57","29","28","72","32","40","74","31","43"
31,"Mysen videregående skole","Påbygging til generell studiekompetanse","56","23","33","64","21","43","55","25","30","46","26","20","43","18","25","28","15","13","39","16","23","40","16","24","68","22","46","73","18","55","54","23","31","73","27","46","52","16","36","101","42","59"
31,"Mysen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","18","6","12","21","8","13","26","6","20","28","10","18","21","6","15","25","14","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Mysen videregående skole","Studiespesialisering","366","169","197","416","175","241","417","181","236","415","180","235","418","193","225","408","202","206","373","174","199","358","163","195","328","140","188","322","145","177","298","132","166","300","117","183","299","121","178","320","143","177"
31,"Mysen videregående skole","Yrkesfaglig","464","199","265","454","190","264","435","201","234","428","192","236","450","230","220","400","206","194","418","225","193","419","222","197","440","245","195","430","238","192","442","225","217","448","244","204","425","233","192","499","284","215"
31,"Mysen videregående skole","Bygg- og anleggsteknikk","53","53",NA,"52","51","1","54","52","2","44","43","1","54","52","2","64","60","4","59","58","1","70","68","2","71","71",NA,"79","78","1","81","76","5","83","81","2","94","89","5","114","109","5"
31,"Mysen videregående skole","Design og håndverk","98","8","90","85","5","80","76","9","67","77","8","69","90","21","69","82","25","57","80","30","50","67","25","42","34","13","21","12","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Mysen videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","2","25","43","5","38","60","7","53","62","10","52","50","6","44","39","1","38"
31,"Mysen videregående skole","Helse- og oppvekstfag","92","18","74","95","8","87","98","16","82","97","18","79","93","12","81","114","20","94","136","35","101","139","32","107","120","25","95","115","22","93","126","22","104","125","24","101","119","24","95","132","14","118"
31,"Mysen videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","28","7","55","48","7","56","44","12","56","46","10","53","47","6","69","62","7"
31,"Mysen videregående skole","Medier og kommunikasjon (gammel ordning)","57","19","38","58","18","40","53","18","35","59","23","36","31","17","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Mysen videregående skole","Restaurant- og matfag","55","20","35","64","32","32","45","29","16","51","31","20","62","34","28","39","19","20","38","19","19","38","19","19","42","22","20","39","20","19","34","16","18","28","17","11","23","14","9","41","20","21"
31,"Mysen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","9","12","42","22","20","42","22","20","52","28","24","49","21","28","53","34","19"
31,"Mysen videregående skole","Service og samferdsel","63","38","25","63","40","23","68","36","32","63","36","27","85","61","24","67","49","18","63","45","18","63","43","20","50","39","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Mysen videregående skole","Teknologi- og industrifag","46","43","3","37","36","1","41","41",NA,"37","33","4","35","33","2","34","33","1","42","38","4","42","35","7","40","36","4","45","41","4","43","38","5","42","38","4","37","32","5","51","44","7"
