"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
31,"Seiersborg videregående skole Fredrikstad","Alle utdanningsprogram","79","37","42","78","35","43","83","40","43","81","47","34","91","47","44","100","55","45","112","48","64","115","50","65","129","53","76","131","55","76","150","61","89","144","71","73","157","79","78","159","71","88"
31,"Seiersborg videregående skole Fredrikstad","Studieforberedende",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","8","4","11","5","6","6","1","5","12","2","10","10","5","5","14","3","11","12","6","6","12","4","8","13","5","8"
31,"Seiersborg videregående skole Fredrikstad","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","8","4","11","5","6","6","1","5","12","2","10","10","5","5","14","3","11","12","6","6","12","4","8","13","5","8"
31,"Seiersborg videregående skole Fredrikstad","Yrkesfaglig","79","37","42","78","35","43","83","40","43","81","47","34","91","47","44","88","47","41","101","43","58","109","49","60","117","51","66","121","50","71","136","58","78","132","65","67","145","75","70","146","66","80"
31,"Seiersborg videregående skole Fredrikstad","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",NA,"17","16","1","22","18","4","23","23",NA,"24","24",NA,"23","18","5"
31,"Seiersborg videregående skole Fredrikstad","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","2","9","17","3","14","5",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Seiersborg videregående skole Fredrikstad","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1","9","14",NA,"14","20","1","19","21","1","20","23","2","21","24","1","23"
31,"Seiersborg videregående skole Fredrikstad","Helse- og oppvekstfag","43","11","32","41","9","32","43","9","34","41","12","29","51","15","36","50","15","35","44","12","32","47","15","32","48","9","39","48","8","40","48","11","37","48","14","34","48","16","32","49","13","36"
31,"Seiersborg videregående skole Fredrikstad","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","8","6","19","7","12","25","15","10","24","13","11","25","11","14","26","14","12"
31,"Seiersborg videregående skole Fredrikstad","Service og samferdsel","16","8","8","17","9","8","20","12","8","20","17","3","22","16","6","24","18","6","25","11","14","24","13","11","10","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Seiersborg videregående skole Fredrikstad","Teknologi- og industrifag","20","18","2","20","17","3","20","19","1","20","18","2","18","16","2","14","14",NA,"21","18","3","21","18","3","23","20","3","23","19","4","21","13","8","16","14","2","25","22","3","24","20","4"
