"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Bjertnes videregående skole","Alle utdanningsprogram","575","331","244","606","348","258","593","327","266","628","318","310","594","299","295","595","303","292","633","334","299","678","357","321","689","349","340","699","355","344","678","359","319","662","332","330","683","347","336","702","386","316"
32,"Bjertnes videregående skole","Studieforberedende","420","228","192","446","241","205","437","229","208","474","217","257","444","200","244","433","213","220","441","236","205","462","229","233","474","231","243","466","227","239","451","210","241","457","210","247","449","204","245","463","213","250"
32,"Bjertnes videregående skole","Påbygging til generell studiekompetanse","49","21","28","50","29","21","50","27","23","52","26","26","37","12","25","29","17","12","30","15","15","42","10","32","51","22","29","50","29","21","47","13","34","41","21","20","42","21","21","50","22","28"
32,"Bjertnes videregående skole","Studiespesialisering","371","207","164","396","212","184","387","202","185","422","191","231","407","188","219","404","196","208","411","221","190","420","219","201","423","209","214","416","198","218","404","197","207","416","189","227","407","183","224","413","191","222"
32,"Bjertnes videregående skole","Yrkesfaglig","155","103","52","160","107","53","156","98","58","154","101","53","150","99","51","162","90","72","192","98","94","216","128","88","215","118","97","233","128","105","227","149","78","205","122","83","234","143","91","239","173","66"
32,"Bjertnes videregående skole","Bygg- og anleggsteknikk","28","28",NA,"26","25","1","24","24",NA,"24","24",NA,"26","26",NA,"21","19","2","20","19","1","39","39",NA,"39","37","2","52","50","2","57","56","1","41","38","3","52","49","3","64","62","2"
32,"Bjertnes videregående skole","Elektro og datateknologi","41","39","2","42","41","1","42","40","2","38","38",NA,"39","39",NA,"42","42",NA,"39","37","2","30","30",NA,"41","40","1","51","48","3","50","47","3","54","52","2","54","51","3","54","53","1"
32,"Bjertnes videregående skole","Helse- og oppvekstfag","57","11","46","50","7","43","57","9","48","50","9","41","54","13","41","64","8","56","86","10","76","98","23","75","92","20","72","87","12","75","66","9","57","59","3","56","69","6","63","57","15","42"
32,"Bjertnes videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","10","16","43","18","25","54","37","17","51","29","22","59","37","22","64","43","21"
32,"Bjertnes videregående skole","Service og samferdsel","29","25","4","42","34","8","33","25","8","42","30","12","31","21","10","35","21","14","47","32","15","49","36","13","17","11","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
