"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Bleiker videregående skole","Alle utdanningsprogram","439","241","198","461","294","167","448","283","165","444","287","157","421","259","162","381","249","132","400","270","130","364","251","113","403","291","112","452","315","137","598","402","196","627","396","231","678","424","254","687","413","274"
32,"Bleiker videregående skole","Studieforberedende","171","67","104","142","65","77","120","49","71","119","67","52","96","57","39","87","45","42","78","36","42","60","30","30","66","34","32","107","56","51","254","151","103","297","169","128","319","173","146","324","181","143"
32,"Bleiker videregående skole","Idrettsfag","1",NA,"1","3","2","1","4","3","1","4","4",NA,"4","4",NA,"4","4",NA,"3","3",NA,"4","3","1","5","4","1","6","5","1","121","84","37","181","121","60","188","124","64","189","124","65"
32,"Bleiker videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","25","16","57","22","35","61","21","40","72","24","48","74","32","42"
32,"Bleiker videregående skole","Musikk, dans og drama","35","19","16","23","11","12","13","4","9","6","3","3","4","2","2","4","2","2","3","2","1","3","1","2","3","2","1","4","3","1","3","3",NA,"3","3",NA,NA,NA,NA,NA,NA,NA
32,"Bleiker videregående skole","Påbygging til generell studiekompetanse","80","33","47","79","38","41","75","35","40","92","46","46","62","36","26","68","31","37","72","31","41","53","26","27","58","28","30","56","23","33","73","42","31","52","24","28","59","25","34","61","25","36"
32,"Bleiker videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","17","10","7","15","12","3","15","5","10","17","14","3","26","15","11","11","8","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Bleiker videregående skole","Studiespesialisering","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Bleiker videregående skole","Studiespesialisering med formgivning","37","5","32","22","2","20","13","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Bleiker videregående skole","Yrkesfaglig","268","174","94","319","229","90","328","234","94","325","220","105","325","202","123","294","204","90","322","234","88","304","221","83","337","257","80","345","259","86","344","251","93","330","227","103","359","251","108","363","232","131"
32,"Bleiker videregående skole","Bygg- og anleggsteknikk","3","3",NA,"5","5",NA,"5","5",NA,"4","4",NA,"4","4",NA,"4","4",NA,"4","4",NA,"4","3","1","5","5",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
